"",BBK01.OEAH45J,BBK01.OEAH45J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:11,
2002-01,0.294,
2002-04,0.286,
2002-07,0.298,
2002-10,0.333,
2003-01,0.288,
2003-04,0.277,
2003-07,0.259,
2003-10,0.249,
2004-01,0.255,
2004-04,0.256,
2004-07,0.256,
2004-10,0.239,
2005-01,0.244,
2005-04,0.220,
2005-07,0.189,
2005-10,0.189,
2006-01,0.194,
2006-04,0.200,
2006-07,0.194,
2006-10,0.232,
2007-01,0.227,
2007-04,0.239,
2007-07,0.301,
2007-10,0.357,
2008-01,0.380,
2008-04,0.379,
2008-07,0.444,
2008-10,0.539,
2009-01,0.388,
2009-04,0.323,
2009-07,0.243,
2009-10,0.215,
2010-01,0.197,
2010-04,0.186,
2010-07,0.199,
2010-10,0.178,
2011-01,0.174,
2011-04,0.179,
2011-07,0.191,
2011-10,0.149,
2012-01,0.159,
2012-04,0.137,
2012-07,0.125,
2012-10,0.096,
2013-01,0.092,
2013-04,0.086,
2013-07,0.089,
2013-10,0.093,
2014-01,0.092,
2014-04,0.089,
2014-07,0.084,
