"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.SI.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.SI.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Slovenia / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:44,
2009-09,298,
2009-10,296,
2009-11,295,
2009-12,292,
2010-01,453,
2010-02,436,
2010-03,566,
2010-04,580,
2010-05,590,
2010-06,583,
2010-07,593,
2010-08,609,
2010-09,615,
2010-10,596,
2010-11,574,
2010-12,553,
2011-01,582,
2011-02,598,
2011-03,708,
2011-04,714,
2011-05,709,
2011-06,662,
2011-07,626,
2011-08,602,
2011-09,592,
2011-10,580,
2011-11,519,
2011-12,535,
2012-01,539,
2012-02,546,
2012-03,564,
2012-04,567,
2012-05,580,
2012-06,565,
2012-07,511,
2012-08,466,
2012-09,473,
2012-10,514,
2012-11,521,
2012-12,668,
2013-01,703,
2013-02,687,
2013-03,565,
2013-04,653,
2013-05,637,
2013-06,607,
2013-07,620,
2013-08,609,
2013-09,575,
2013-10,629,
2013-11,732,
2013-12,835,
2014-01,922,
2014-02,1230,
2014-03,1428,
2014-04,1520,
2014-05,1510,
2014-06,1528,
2014-07,1465,
2014-08,1490,
2014-09,1495,
2014-10,1604,
2014-11,1714,
