"",BBSF2.M.1.S.I1314.GEM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1314.GEM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number / Social security funds / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:50:23,
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,28,
2009-10,27,
2009-11,27,
2009-12,29,
2010-01,29,
2010-02,28,
2010-03,28,
2010-04,28,
2010-05,29,
2010-06,28,
2010-07,28,
2010-08,28,
2010-09,26,
2010-10,25,
2010-11,25,
2010-12,25,
2011-01,25,
2011-02,25,
2011-03,25,
2011-04,25,
2011-05,25,
2011-06,22,
2011-07,22,
2011-08,22,
2011-09,22,
2011-10,22,
2011-11,22,
2011-12,22,
2012-01,22,
2012-02,23,
2012-03,22,
2012-04,22,
2012-05,22,
2012-06,22,
2012-07,21,
2012-08,21,
2012-09,22,
2012-10,22,
2012-11,22,
2012-12,22,
2013-01,22,
2013-02,22,
2013-03,22,
2013-04,22,
2013-05,24,
2013-06,25,
2013-07,24,
2013-08,24,
2013-09,24,
2013-10,23,
2013-11,23,
2013-12,23,
2014-01,23,
2014-02,23,
2014-03,23,
2014-04,23,
2014-05,22,
2014-06,21,
2014-07,21,
2014-08,23,
2014-09,23,
2014-10,23,
2014-11,23,
