"",BBK01.OEHI02G,BBK01.OEHI02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:31,
2002-01,21.517,
2002-04,21.819,
2002-07,21.884,
2002-10,23.178,
2003-01,22.868,
2003-04,23.409,
2003-07,23.960,
2003-10,24.916,
2004-01,24.561,
2004-04,25.088,
2004-07,25.236,
2004-10,25.851,
2005-01,25.310,
2005-04,26.167,
2005-07,26.824,
2005-10,27.755,
2006-01,27.032,
2006-04,27.397,
2006-07,27.659,
2006-10,28.944,
2007-01,28.256,
2007-04,28.668,
2007-07,29.020,
2007-10,30.384,
2008-01,29.463,
2008-04,29.775,
2008-07,29.751,
2008-10,31.674,
2009-01,34.712,
2009-04,37.961,
2009-07,39.769,
2009-10,41.658,
2010-01,41.711,
2010-04,42.567,
2010-07,42.772,
2010-10,43.551,
2011-01,42.287,
2011-04,42.494,
2011-07,43.000,
2011-10,44.814,
2012-01,45.223,
2012-04,47.597,
2012-07,49.997,
2012-10,51.661,
2013-01,51.046,
2013-04,53.186,
2013-07,54.252,
2013-10,56.363,
2014-01,55.876,
2014-04,57.796,
2014-07,58.429,
