"",BBK01.OEYB20T,BBK01.OEYB20T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:46,
2002-01,0.026,
2002-04,0.025,
2002-07,0.018,
2002-10,0.024,
2003-01,0.025,
2003-04,0.025,
2003-07,0.027,
2003-10,0.029,
2004-01,0.180,
2004-04,0.182,
2004-07,0.173,
2004-10,0.172,
2005-01,0.174,
2005-04,0.175,
2005-07,0.195,
2005-10,0.196,
2006-01,0.199,
2006-04,0.204,
2006-07,0.210,
2006-10,0.246,
2007-01,0.251,
2007-04,0.253,
2007-07,0.259,
2007-10,0.255,
2008-01,0.258,
2008-04,0.257,
2008-07,0.264,
2008-10,0.266,
2009-01,0.271,
2009-04,0.271,
2009-07,0.274,
2009-10,0.276,
2010-01,0.276,
2010-04,0.276,
2010-07,0.285,
2010-10,0.285,
2011-01,0.288,
2011-04,0.287,
2011-07,0.298,
2011-10,0.301,
2012-01,0.304,
2012-04,0.306,
2012-07,0.308,
2012-10,0.307,
2013-01,0.306,
2013-04,0.302,
2013-07,0.305,
2013-10,0.304,
2014-01,0.297,
2014-04,0.294,
2014-07,0.295,
