"",BBK01.OEBO01T,BBK01.OEBO01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:42,
2002-01,1.343,
2002-04,1.295,
2002-07,1.075,
2002-10,1.088,
2003-01,1.128,
2003-04,1.139,
2003-07,1.111,
2003-10,1.122,
2004-01,1.121,
2004-04,1.099,
2004-07,1.082,
2004-10,1.061,
2005-01,1.852,
2005-04,1.858,
2005-07,1.823,
2005-10,1.798,
2006-01,1.813,
2006-04,1.801,
2006-07,1.768,
2006-10,1.741,
2007-01,1.748,
2007-04,1.835,
2007-07,1.851,
2007-10,1.845,
2008-01,1.927,
2008-04,1.945,
2008-07,1.967,
2008-10,1.959,
2009-01,2.087,
2009-04,2.120,
2009-07,2.120,
2009-10,2.201,
2010-01,2.175,
2010-04,2.119,
2010-07,2.103,
2010-10,2.110,
2011-01,2.197,
2011-04,2.245,
2011-07,2.202,
2011-10,2.158,
2012-01,2.156,
2012-04,2.218,
2012-07,2.182,
2012-10,2.175,
2013-01,2.180,
2013-04,2.098,
2013-07,2.050,
2013-10,2.023,
2014-01,2.009,
2014-04,1.979,
2014-07,1.946,
