"",BBK01.OEAD19M,BBK01.OEAD19M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:14,
2002-01,0.269,
2002-04,0.257,
2002-07,0.287,
2002-10,0.274,
2003-01,0.253,
2003-04,0.252,
2003-07,0.216,
2003-10,0.133,
2004-01,0.138,
2004-04,0.152,
2004-07,0.158,
2004-10,0.124,
2005-01,0.168,
2005-04,0.159,
2005-07,0.157,
2005-10,0.146,
2006-01,0.165,
2006-04,0.180,
2006-07,0.176,
2006-10,0.129,
2007-01,0.228,
2007-04,0.173,
2007-07,0.204,
2007-10,0.216,
2008-01,0.221,
2008-04,0.196,
2008-07,0.144,
2008-10,0.130,
2009-01,0.141,
2009-04,0.132,
2009-07,0.115,
2009-10,0.114,
2010-01,0.105,
2010-04,0.106,
2010-07,0.116,
2010-10,0.098,
2011-01,0.101,
2011-04,0.106,
2011-07,0.112,
2011-10,0.090,
2012-01,0.095,
2012-04,0.102,
2012-07,0.105,
2012-10,0.098,
2013-01,0.109,
2013-04,0.121,
2013-07,0.105,
2013-10,0.105,
2014-01,0.108,
2014-04,0.118,
2014-07,0.089,
