"",BBFN1.M.DE.N.1.A.IT.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IT.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:50,
1975-12,0.010,
1976-01,0.010,
1976-02,0.013,
1976-03,0.010,
1976-04,0.011,
1976-05,0.015,
1976-06,0.015,
1976-07,0.013,
1976-08,0.013,
1976-09,0.013,
1976-10,0.010,
1976-11,0.013,
1976-12,0.011,
1977-01,0.010,
1977-02,0.014,
1977-03,0.010,
1977-04,0.015,
1977-05,0.015,
1977-06,0.012,
1977-07,0.017,
1977-08,0.014,
1977-09,0.015,
1977-10,0.010,
1977-11,0.011,
1977-12,0.012,
1978-01,0.010,
1978-02,0.012,
1978-03,0.014,
1978-04,0.013,
1978-05,0.017,
1978-06,0.014,
1978-07,0.014,
1978-08,0.011,
1978-09,0.016,
1978-10,0.011,
1978-11,0.013,
1978-12,0.013,
1979-01,0.013,
1979-02,0.016,
1979-03,0.017,
1979-04,0.018,
1979-05,0.022,
1979-06,0.025,
1979-07,0.022,
1979-08,0.029,
1979-09,0.032,
1979-10,0.023,
1979-11,0.018,
1979-12,0.018,
1980-01,0.020,
1980-02,0.019,
1980-03,0.018,
1980-04,0.020,
1980-05,0.025,
1980-06,0.025,
1980-07,0.035,
1980-08,0.030,
1980-09,0.023,
1980-10,0.028,
1980-11,0.027,
1980-12,0.017,
1981-01,0.018,
1981-02,0.021,
1981-03,0.019,
1981-04,0.036,
1981-05,0.040,
1981-06,0.031,
1981-07,0.024,
1981-08,0.032,
1981-09,0.022,
1981-10,0.025,
1981-11,0.021,
1981-12,0.032,
1982-01,0.049,
1982-02,0.058,
1982-03,0.043,
1982-04,0.052,
1982-05,0.039,
1982-06,0.036,
1982-07,0.039,
1982-08,0.037,
1982-09,0.034,
1982-10,0.033,
1982-11,0.028,
1982-12,0.028,
1983-01,0.034,
1983-02,0.052,
1983-03,0.028,
1983-04,0.027,
1983-05,0.038,
1983-06,0.047,
1983-07,0.047,
1983-08,0.041,
1983-09,0.036,
1983-10,0.026,
1983-11,0.022,
1983-12,0.025,
1984-01,0.027,
1984-02,0.034,
1984-03,0.032,
1984-04,0.032,
1984-05,0.035,
1984-06,0.035,
1984-07,0.043,
1984-08,0.046,
1984-09,0.046,
1984-10,0.033,
1984-11,0.034,
1984-12,0.034,
1985-01,0.045,
1985-02,0.035,
1985-03,0.046,
1985-04,0.047,
1985-05,0.043,
1985-06,0.056,
1985-07,0.042,
1985-08,0.039,
1985-09,0.044,
1985-10,0.037,
1985-11,0.034,
1985-12,0.036,
1986-01,0.046,
1986-02,0.044,
1986-03,0.063,
1986-04,0.044,
1986-05,0.059,
1986-06,0.048,
1986-07,0.059,
1986-08,0.048,
1986-09,0.046,
1986-10,0.050,
1986-11,0.061,
1986-12,0.056,
1987-01,0.079,
1987-02,0.056,
1987-03,0.071,
1987-04,0.118,
1987-05,0.057,
1987-06,0.082,
1987-07,0.178,
1987-08,0.153,
1987-09,0.122,
1987-10,0.062,
1987-11,0.066,
1987-12,0.072,
1988-01,0.076,
1988-02,0.100,
1988-03,0.100,
1988-04,0.118,
1988-05,0.116,
1988-06,0.179,
1988-07,0.164,
1988-08,0.132,
1988-09,0.137,
1988-10,0.114,
1988-11,0.107,
1988-12,0.057,
1989-01,0.124,
1989-02,0.118,
1989-03,0.113,
1989-04,0.091,
1989-05,0.092,
1989-06,0.176,
1989-07,0.142,
1989-08,0.119,
1989-09,0.138,
1989-10,0.195,
1989-11,0.224,
1989-12,0.143,
1990-01,0.110,
1990-02,0.110,
1990-03,0.137,
1990-04,0.168,
1990-05,0.178,
1990-06,0.120,
1990-07,0.107,
1990-08,0.093,
1990-09,0.111,
1990-10,0.126,
1990-11,0.144,
1990-12,0.156,
1991-01,0.137,
1991-02,0.230,
1991-03,0.361,
1991-04,0.338,
1991-05,0.436,
1991-06,0.456,
1991-07,0.309,
1991-08,0.446,
1991-09,0.355,
1991-10,0.373,
1991-11,0.271,
1991-12,0.193,
1992-01,0.260,
1992-02,0.336,
1992-03,0.409,
1992-04,0.410,
1992-05,0.404,
1992-06,0.274,
1992-07,0.268,
1992-08,0.145,
1992-09,0.099,
1992-10,0.105,
1992-11,0.310,
1992-12,0.261,
1993-01,0.381,
1993-02,0.293,
1993-03,0.279,
1993-04,0.038,
1993-05,0.067,
1993-06,0.084,
1993-07,0.186,
1993-08,0.347,
1993-09,0.541,
1993-10,0.588,
1993-11,0.464,
1993-12,0.276,
1994-01,0.410,
1994-02,0.640,
1994-03,0.512,
1994-04,0.477,
1994-05,0.349,
1994-06,0.500,
1994-07,0.535,
1994-08,0.602,
1994-09,0.572,
1994-10,0.567,
1994-11,0.551,
1994-12,0.491,
1995-01,0.642,
1995-02,0.584,
1995-03,0.580,
1995-04,0.472,
1995-05,0.346,
1995-06,0.619,
1995-07,0.507,
1995-08,0.406,
1995-09,0.428,
1995-10,0.580,
1995-11,0.352,
1995-12,0.213,
1996-01,0.315,
1996-02,0.354,
1996-03,0.449,
1996-04,0.320,
1996-05,0.274,
1996-06,0.593,
1996-07,0.500,
1996-08,0.532,
1996-09,0.418,
1996-10,0.476,
1996-11,0.403,
1996-12,0.497,
1997-01,0.456,
1997-02,0.452,
1997-03,0.743,
1997-04,0.840,
1997-05,0.737,
1997-06,0.643,
1997-07,0.486,
1997-08,0.476,
1997-09,0.325,
1997-10,0.499,
1997-11,0.483,
1997-12,0.202,
1998-01,0.395,
1998-02,0.438,
1998-03,0.415,
1998-04,1.002,
1998-05,1.265,
1998-06,1.252,
1998-07,1.083,
1998-08,0.924,
1998-09,0.898,
1998-10,0.810,
1998-11,0.822,
1998-12,0.387,
1999-01,0.132,
1999-02,0.245,
1999-03,0.490,
1999-04,0.313,
1999-05,0.142,
1999-06,0.199,
1999-07,0.079,
1999-08,0.169,
1999-09,0.281,
1999-10,0.122,
1999-11,0.205,
1999-12,0.206,
2000-01,0.266,
2000-02,0.154,
2000-03,0.192,
2000-04,0.074,
2000-05,0.174,
2000-06,0.280,
2000-07,0.146,
2000-08,0.097,
2000-09,0.305,
2000-10,0.211,
2000-11,0.285,
2000-12,0.207,
2001-01,0.297,
2001-02,0.237,
2001-03,0.303,
2001-04,0.123,
2001-05,0.196,
2001-06,0.137,
2001-07,0.072,
2001-08,0.093,
2001-09,0.295,
2001-10,0.092,
2001-11,0.298,
2001-12,0.191,
2002-01,0.801,
2002-02,0.095,
2002-03,0.185,
2002-04,0.140,
2002-05,0.135,
2002-06,0.104,
2002-07,0.121,
2002-08,0.294,
2002-09,0.203,
2002-10,0.092,
2002-11,0.095,
2002-12,0.181,
2003-01,0.215,
2003-02,0.059,
2003-03,0.231,
2003-04,0.137,
2003-05,0.110,
2003-06,0.165,
2003-07,0.064,
2003-08,0.102,
2003-09,0.169,
2003-10,0.203,
2003-11,0.289,
2003-12,0.329,
2004-01,0.199,
2004-02,0.267,
2004-03,0.167,
2004-04,0.217,
2004-05,0.454,
2004-06,0.318,
2004-07,0.410,
2004-08,0.192,
2004-09,0.301,
2004-10,0.472,
2004-11,0.244,
2004-12,0.245,
2005-01,0.390,
2005-02,0.447,
2005-03,0.341,
2005-04,0.379,
2005-05,0.244,
2005-06,0.307,
2005-07,0.248,
2005-08,0.224,
2005-09,0.327,
2005-10,3.457,
2005-11,1.104,
2005-12,0.232,
2006-01,0.222,
2006-02,0.282,
2006-03,0.313,
2006-04,0.275,
2006-05,0.229,
2006-06,1.360,
2006-07,0.817,
2006-08,0.705,
2006-09,0.814,
2006-10,0.677,
2006-11,0.432,
2006-12,0.448,
