"",BBK01.OEGJ02I,BBK01.OEGJ02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:11,
2002-01,0.876,
2002-04,0.718,
2002-07,0.711,
2002-10,1.120,
2003-01,0.713,
2003-04,0.768,
2003-07,1.963,
2003-10,2.077,
2004-01,2.096,
2004-04,2.158,
2004-07,2.167,
2004-10,2.581,
2005-01,3.092,
2005-04,2.568,
2005-07,2.571,
2005-10,2.471,
2006-01,2.815,
2006-04,2.518,
2006-07,3.734,
2006-10,2.396,
2007-01,2.341,
2007-04,3.194,
2007-07,2.695,
2007-10,2.347,
2008-01,2.481,
2008-04,3.666,
2008-07,2.818,
2008-10,3.371,
2009-01,4.346,
2009-04,4.443,
2009-07,6.233,
2009-10,3.502,
2010-01,4.680,
2010-04,4.119,
2010-07,3.739,
2010-10,3.489,
2011-01,3.728,
2011-04,3.509,
2011-07,4.437,
2011-10,3.573,
2012-01,4.587,
2012-04,3.867,
2012-07,3.714,
2012-10,4.573,
2013-01,4.905,
2013-04,5.380,
2013-07,4.660,
2013-10,4.978,
2014-01,4.518,
2014-04,4.836,
2014-07,5.042,
