"",BBSF2.M.1.S.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number outstanding,
unit,STUECK (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:32,
1968-01,-,Nothing exists
1968-02,-,Nothing exists
1968-03,-,Nothing exists
1968-04,-,Nothing exists
1968-05,-,Nothing exists
1968-06,-,Nothing exists
1968-07,-,Nothing exists
1968-08,-,Nothing exists
1968-09,-,Nothing exists
1968-10,-,Nothing exists
1968-11,-,Nothing exists
1968-12,1154,
1969-01,1155,
1969-02,1288,
1969-03,1376,
1969-04,1598,
1969-05,2011,
1969-06,2778,
1969-07,4356,
1969-08,4670,
1969-09,4804,
1969-10,5755,
1969-11,6548,
1969-12,7542,
1970-01,8000,
1970-02,8184,
1970-03,8363,
1970-04,8466,
1970-05,8592,
1970-06,8668,
1970-07,8910,
1970-08,9301,
1970-09,9433,
1970-10,9716,
1970-11,9972,
1970-12,10412,
1971-01,10513,
1971-02,10630,
1971-03,11000,
1971-04,10740,
1971-05,10746,
1971-06,10956,
1971-07,11080,
1971-08,11164,
1971-09,11325,
1971-10,11665,
1971-11,11839,
1971-12,12669,
1972-01,14236,
1972-02,14799,
1972-03,15059,
1972-04,15293,
1972-05,16059,
1972-06,17221,
1972-07,17632,
1972-08,17866,
1972-09,18119,
1972-10,18575,
1972-11,19015,
1972-12,20758,
1973-01,22292,
1973-02,22901,
1973-03,23491,
1973-04,24077,
1973-05,24694,
1973-06,26369,
1973-07,27410,
1973-08,27797,
1973-09,28413,
1973-10,28987,
1973-11,30145,
1973-12,30774,
1974-01,31413,
1974-02,32282,
1974-03,33025,
1974-04,33527,
1974-05,35169,
1974-06,35838,
1974-07,37425,
1974-08,38321,
1974-09,38830,
1974-10,39963,
1974-11,41557,
1974-12,47516,
1975-01,55065,
1975-02,56779,
1975-03,57816,
1975-04,58758,
1975-05,61305,
1975-06,62709,
1975-07,63995,
1975-08,65035,
1975-09,66139,
1975-10,67851,
1975-11,69427,
1975-12,72548,
1976-01,74779,
1976-02,75525,
1976-03,77242,
1976-04,78386,
1976-05,80488,
1976-06,81539,
1976-07,82290,
1976-08,83105,
1976-09,83543,
1976-10,84873,
1976-11,87417,
1976-12,90263,
1977-01,92087,
1977-02,92712,
1977-03,95046,
1977-04,97052,
1977-05,99117,
1977-06,100259,
1977-07,101874,
1977-08,103526,
1977-09,104500,
1977-10,107594,
1977-11,111680,
1977-12,115188,
1978-01,118313,
1978-02,119963,
1978-03,121834,
1978-04,123843,
1978-05,126144,
1978-06,129226,
1978-07,130465,
1978-08,131619,
1978-09,133508,
1978-10,136330,
1978-11,138744,
1978-12,140968,
1979-01,145904,
1979-02,147257,
1979-03,148448,
1979-04,149906,
1979-05,151518,
1979-06,152985,
1979-07,154917,
1979-08,156086,
1979-09,157441,
1979-10,159066,
1979-11,163054,
1979-12,167103,
1980-01,171717,
1980-02,173861,
1980-03,175560,
1980-04,177299,
1980-05,178902,
1980-06,180430,
1980-07,183291,
1980-08,184185,
1980-09,184819,
1980-10,186106,
1980-11,189385,
1980-12,191184,
1981-01,193427,
1981-02,195373,
1981-03,195715,
1981-04,197474,
1981-05,199610,
1981-06,200891,
1981-07,202788,
1981-08,204201,
1981-09,206617,
1981-10,210092,
1981-11,217799,
1981-12,223265,
1982-01,227639,
1982-02,231741,
1982-03,236955,
1982-04,239793,
1982-05,242097,
1982-06,243641,
1982-07,246145,
1982-08,248846,
1982-09,250582,
1982-10,257789,
1982-11,262016,
1982-12,266686,
1983-01,271344,
1983-02,274404,
1983-03,277659,
1983-04,279869,
1983-05,280837,
1983-06,282986,
1983-07,285765,
1983-08,286323,
1983-09,287835,
1983-10,291223,
1983-11,296419,
1983-12,302975,
1984-01,309288,
1984-02,313994,
1984-03,315809,
1984-04,317650,
1984-05,319387,
1984-06,322562,
1984-07,325427,
1984-08,326411,
1984-09,328629,
1984-10,335809,
1984-11,339411,
1984-12,347380,
1985-01,355905,
1985-02,364846,
1985-03,367097,
1985-04,370338,
1985-05,375649,
1985-06,378554,
1985-07,382905,
1985-08,385061,
1985-09,388468,
1985-10,396119,
1985-11,403435,
1985-12,415897,
1986-01,429499,
1986-02,437275,
1986-03,447247,
1986-04,456562,
1986-05,462278,
1986-06,469510,
1986-07,476546,
1986-08,482792,
1986-09,485775,
1986-10,494741,
1986-11,503669,
1986-12,529001,
1987-01,543084,
1987-02,556904,
1987-03,575608,
1987-04,588001,
1987-05,601476,
1987-06,608520,
1987-07,618938,
1987-08,626395,
1987-09,634171,
1987-10,651383,
1987-11,672528,
1987-12,698660,
1988-01,712703,
1988-02,721883,
1988-03,731514,
1988-04,747816,
1988-05,752944,
1988-06,762934,
1988-07,781116,
1988-08,790249,
1988-09,797232,
1988-10,805549,
1988-11,821320,
1988-12,851987,
1989-01,872729,
1989-02,884342,
1989-03,888497,
1989-04,903600,
1989-05,912291,
1989-06,924637,
1989-07,938410,
1989-08,948621,
1989-09,961280,
1989-10,976330,
1989-11,990790,
1989-12,1020780,
1990-01,1046583,
1990-02,1067278,
1990-03,1039201,
1990-04,1052301,
1990-05,1059575,
1990-06,1065601,
1990-07,1074831,
1990-08,1093771,
1990-09,1105100,
1990-10,1116252,
1990-11,1130062,
1990-12,1165317,
1991-01,1191155,
1991-02,1210394,
1991-03,1232343,
1991-04,1244854,
1991-05,1268714,
1991-06,1275890,
1991-07,1306282,
1991-08,1319016,
1991-09,1335038,
1991-10,1348746,
1991-11,1372170,
1991-12,1415169,
1992-01,1449921,
1992-02,1477206,
1992-03,1489249,
1992-04,1504595,
1992-05,1522264,
1992-06,1534781,
1992-07,1560236,
1992-08,1568776,
1992-09,1579775,
1992-10,1589723,
1992-11,1596994,
1992-12,1653852,
1993-01,1690443,
1993-02,1758384,
1993-03,1779125,
1993-04,1803502,
1993-05,1822554,
1993-06,1839455,
1993-07,1873388,
1993-08,1917806,
1993-09,1934226,
1993-10,1971231,
1993-11,1998204,
1993-12,2082620,
1994-01,2139159,
1994-02,2180128,
1994-03,2217871,
1994-04,2284226,
1994-05,2307420,
1994-06,2354678,
1994-07,2389660,
1994-08,2413397,
1994-09,2412374,
1994-10,2447844,
1994-11,2454417,
1994-12,2524922,
1995-01,2567472,
1995-02,2602311,
1995-03,2640146,
1995-04,2655027,
1995-05,2663121,
1995-06,2670947,
1995-07,2699280,
1995-08,2706894,
1995-09,2743352,
1995-10,2748027,
1995-11,2786757,
1995-12,2897671,
1996-01,2982773,
1996-02,3049218,
1996-03,3094593,
1996-04,3132201,
1996-05,3159428,
1996-06,3200470,
1996-07,3240230,
1996-08,3267375,
1996-09,3271144,
1996-10,3330682,
1996-11,3368940,
1996-12,3488655,
1997-01,3587909,
1997-02,3665966,
1997-03,3735083,
1997-04,3792894,
1997-05,3822834,
1997-06,3936263,
1997-07,4007171,
1997-08,4091845,
1997-09,4145015,
1997-10,4207027,
1997-11,4230542,
1997-12,4426723,
1998-01,4560633,
1998-02,4645153,
1998-03,4731936,
1998-04,4805928,
1998-05,4883954,
1998-06,4929246,
1998-07,5037617,
1998-08,5142730,
1998-09,5226512,
1998-10,5297634,
1998-11,5341494,
1998-12,5727064,
1999-01,5845239,
1999-02,5914661,
1999-03,5958959,
1999-04,6067369,
1999-05,6167349,
1999-06,6203873,
1999-07,6231031,
1999-08,6296593,
1999-09,6322104,
1999-10,6357994,
1999-11,6405744,
1999-12,6669971,
2000-01,6754983,
2000-02,6799492,
2000-03,6838335,
2000-04,6889191,
2000-05,6948821,
2000-06,6958248,
2000-07,7003996,
2000-08,7043149,
2000-09,7082626,
2000-10,7174319,
2000-11,7211451,
2000-12,7441932,
2001-01,7549698,
2001-02,7613537,
2001-03,7616078,
2001-04,7585863,
2001-05,7583683,
2001-06,7614345,
2001-07,7660915,
2001-08,7683069,
2001-09,7696715,
2001-10,7753424,
2001-11,7785766,
2001-12,8012540,
2002-01,8071909,
2002-02,8117948,
2002-03,8055997,
2002-04,8122293,
2002-05,8139462,
2002-06,8146881,
2002-07,8179750,
2002-08,8221864,
2002-09,8272408,
2002-10,8355902,
2002-11,8370634,
2002-12,8489793,
2003-01,8579865,
2003-02,8590328,
2003-03,8641261,
2003-04,8676196,
2003-05,8734662,
2003-06,8765526,
2003-07,8769521,
2003-08,8770020,
2003-09,8818569,
2003-10,8832221,
2003-11,8830703,
2003-12,8904622,
2004-01,8913518,
2004-02,8919706,
2004-03,8962388,
2004-04,8998562,
2004-05,8917340,
2004-06,8918843,
2004-07,8891613,
2004-08,8888962,
2004-09,8867398,
2004-10,8870838,
2004-11,8860526,
2004-12,8929478,
2005-01,9011949,
2005-02,9049687,
2005-03,9089344,
2005-04,9107093,
