"",BBK01.OUP364,BBK01.OUP364_FLAGS
"",Loans to foreign non-banks for over one year and up to and including five years / Foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:59:24,
1999-01,2.087,
1999-02,2.079,
1999-03,2.154,
1999-04,2.203,
1999-05,2.195,
1999-06,2.314,
1999-07,2.254,
1999-08,2.178,
1999-09,2.309,
1999-10,2.418,
1999-11,2.732,
1999-12,2.746,
2000-01,2.778,
2000-02,2.602,
2000-03,2.710,
2000-04,2.763,
2000-05,2.675,
2000-06,2.663,
2000-07,2.615,
2000-08,2.636,
2000-09,2.472,
2000-10,2.451,
2000-11,2.422,
2000-12,2.870,
2001-01,2.951,
2001-02,2.767,
2001-03,2.959,
2001-04,2.962,
2001-05,3.036,
2001-06,3.045,
2001-07,3.311,
2001-08,3.098,
2001-09,3.018,
2001-10,3.061,
2001-11,3.476,
2001-12,3.337,
2002-01,3.401,
2002-02,3.445,
2002-03,3.571,
2002-04,3.908,
2002-05,9.515,
2002-06,7.615,
2002-07,7.823,
2002-08,7.836,
2002-09,7.637,
2002-10,7.628,
2002-11,7.642,
2002-12,7.484,
2003-01,7.467,
2003-02,7.493,
2003-03,7.258,
2003-04,7.251,
2003-05,7.161,
2003-06,3.911,
2003-07,4.634,
2003-08,4.632,
2003-09,4.492,
2003-10,3.761,
2003-11,3.666,
2003-12,3.620,
2004-01,3.594,
2004-02,3.520,
2004-03,3.537,
2004-04,4.061,
2004-05,4.022,
2004-06,3.985,
2004-07,4.332,
2004-08,4.214,
2004-09,4.181,
2004-10,4.168,
2004-11,4.272,
2004-12,4.375,
2005-01,4.619,
2005-02,4.824,
2005-03,4.955,
2005-04,4.708,
2005-05,4.762,
2005-06,5.118,
2005-07,4.901,
2005-08,4.995,
2005-09,5.054,
2005-10,5.158,
2005-11,4.787,
2005-12,7.401,
2006-01,6.965,
2006-02,7.094,
2006-03,7.290,
2006-04,6.489,
2006-05,6.697,
2006-06,6.772,
2006-07,6.337,
2006-08,6.875,
2006-09,7.896,
2006-10,8.079,
2006-11,7.870,
2006-12,7.889,
2007-01,8.164,
2007-02,8.202,
2007-03,8.342,
2007-04,8.433,
2007-05,8.599,
2007-06,9.693,
2007-07,9.493,
2007-08,10.063,
2007-09,10.804,
2007-10,10.752,
2007-11,10.587,
2007-12,10.850,
2008-01,11.416,
2008-02,11.360,
2008-03,10.542,
2008-04,11.536,
2008-05,11.780,
2008-06,12.401,
2008-07,12.595,
2008-08,13.311,
2008-09,14.039,
2008-10,14.583,
2008-11,14.615,
2008-12,14.120,
2009-01,14.472,
2009-02,14.394,
2009-03,13.649,
2009-04,13.735,
2009-05,13.426,
2009-06,13.674,
2009-07,13.815,
2009-08,14.138,
2009-09,13.410,
2009-10,13.049,
2009-11,12.869,
2009-12,13.113,
2010-01,13.099,
2010-02,13.187,
2010-03,12.830,
2010-04,12.979,
2010-05,12.922,
2010-06,13.005,
2010-07,12.577,
2010-08,12.878,
2010-09,12.650,
2010-10,12.704,
2010-11,13.841,
2010-12,13.635,
2011-01,13.906,
2011-02,14.107,
2011-03,13.814,
2011-04,13.821,
2011-05,13.686,
2011-06,12.610,
2011-07,12.847,
2011-08,13.010,
2011-09,13.113,
2011-10,12.704,
2011-11,12.687,
2011-12,12.868,
2012-01,12.886,
2012-02,12.568,
2012-03,12.297,
2012-04,11.689,
2012-05,11.978,
2012-06,11.768,
2012-07,12.181,
2012-08,12.201,
2012-09,12.171,
2012-10,11.786,
2012-11,12.060,
2012-12,12.601,
2013-01,12.325,
2013-02,13.024,
2013-03,13.092,
2013-04,12.273,
2013-05,12.425,
2013-06,12.300,
2013-07,12.352,
2013-08,12.224,
2013-09,12.538,
2013-10,12.466,
2013-11,12.652,
2013-12,12.948,
2014-01,13.056,
2014-02,13.240,
2014-03,13.534,
2014-04,13.856,
2014-05,14.463,
2014-06,15.086,
2014-07,14.971,
2014-08,14.842,
2014-09,15.100,
2014-10,15.221,
2014-11,14.887,
2014-12,14.822,Provisional value
