"",BBK01.OEAD08K,BBK01.OEAD08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:34,
2002-01,1.539,
2002-04,1.433,
2002-07,1.460,
2002-10,1.453,
2003-01,1.384,
2003-04,1.295,
2003-07,1.205,
2003-10,1.299,
2004-01,1.195,
2004-04,1.206,
2004-07,1.184,
2004-10,1.083,
2005-01,1.173,
2005-04,1.032,
2005-07,0.995,
2005-10,0.993,
2006-01,0.887,
2006-04,0.867,
2006-07,0.827,
2006-10,0.900,
2007-01,0.729,
2007-04,0.736,
2007-07,0.848,
2007-10,0.840,
2008-01,0.972,
2008-04,1.001,
2008-07,1.050,
2008-10,1.004,
2009-01,0.861,
2009-04,0.760,
2009-07,0.756,
2009-10,0.714,
2010-01,0.644,
2010-04,0.676,
2010-07,0.740,
2010-10,0.733,
2011-01,0.755,
2011-04,0.774,
2011-07,0.794,
2011-10,0.761,
2012-01,0.751,
2012-04,0.730,
2012-07,0.776,
2012-10,0.689,
2013-01,0.662,
2013-04,0.730,
2013-07,0.693,
2013-10,0.580,
2014-01,0.572,
2014-04,0.581,
2014-07,0.580,
