"",BBK01.OEAH96O,BBK01.OEAH96O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:24,
2002-01,0.155,
2002-04,0.119,
2002-07,0.109,
2002-10,0.090,
2003-01,0.073,
2003-04,0.065,
2003-07,0.054,
2003-10,0.034,
2004-01,0.008,
2004-04,-0.004,
2004-07,-0.009,
2004-10,-0.019,
2005-01,0.320,
2005-04,0.301,
2005-07,0.300,
2005-10,0.301,
2006-01,0.287,
2006-04,0.284,
2006-07,0.274,
2006-10,0.270,
2007-01,0.266,
2007-04,0.260,
2007-07,0.249,
2007-10,0.241,
2008-01,0.239,
2008-04,0.239,
2008-07,0.234,
2008-10,0.240,
2009-01,0.243,
2009-04,0.250,
2009-07,0.255,
2009-10,0.261,
2010-01,0.265,
2010-04,0.267,
2010-07,0.271,
2010-10,0.277,
2011-01,0.278,
2011-04,0.281,
2011-07,0.275,
2011-10,0.282,
2012-01,0.292,
2012-04,0.289,
2012-07,0.281,
2012-10,0.276,
2013-01,0.269,
2013-04,0.263,
2013-07,0.262,
2013-10,0.262,
2014-01,0.262,
2014-04,0.258,
2014-07,0.251,
