"",BBK01.CEBE1Q,BBK01.CEBE1Q_FLAGS
"",short-term loans  (consolidated) debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:48,
1991-01,226.3,
1991-04,238.8,
1991-07,240.5,
1991-10,245.5,
1992-01,239.0,
1992-04,246.1,
1992-07,242.3,
1992-10,235.8,
1993-01,232.3,
1993-04,228.2,
1993-07,225.1,
1993-10,218.0,
1994-01,214.5,
1994-04,213.5,
1994-07,213.8,
1994-10,217.7,
1995-01,224.4,
1995-04,232.7,
1995-07,236.0,
1995-10,234.7,
1996-01,238.6,
1996-04,244.3,
1996-07,245.9,
1996-10,249.1,
1997-01,249.4,
1997-04,255.9,
1997-07,251.9,
1997-10,253.1,
1998-01,257.1,
1998-04,257.4,
1998-07,259.2,
1998-10,264.2,
1999-01,263.4,
1999-04,269.9,
1999-07,263.9,
1999-10,287.4,
2000-01,284.7,
2000-04,296.4,
2000-07,310.0,
2000-10,325.8,
2001-01,330.1,
2001-04,341.5,
2001-07,330.2,
2001-10,337.3,
2002-01,324.3,
2002-04,323.9,
2002-07,326.3,
2002-10,312.0,
2003-01,307.4,
2003-04,308.1,
2003-07,297.0,
2003-10,297.2,
2004-01,285.1,
2004-04,277.5,
2004-07,268.2,
2004-10,271.9,
2005-01,268.9,
2005-04,266.3,
2005-07,259.8,
2005-10,260.4,
2006-01,258.9,
2006-04,271.0,
2006-07,278.2,
2006-10,273.0,
2007-01,291.0,
2007-04,300.0,
2007-07,305.1,
2007-10,302.1,
2008-01,300.4,
2008-04,314.3,
2008-07,309.6,
2008-10,310.1,
2009-01,308.5,
2009-04,294.1,
2009-07,278.6,
2009-10,264.9,
2010-01,276.1,
2010-04,272.9,
2010-07,268.0,
2010-10,254.6,
2011-01,237.0,
2011-04,244.9,
2011-07,256.5,
2011-10,264.4,
2012-01,261.7,
2012-04,261.2,
2012-07,260.6,
2012-10,251.0,
2013-01,258.2,
2013-04,269.2,
2013-07,262.0,
2013-10,251.1,
2014-01,259.3,
