"",BBDA1.M.DE.N.IM.S.A.W100X2.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.W100X2.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Rest of the World excluding European countries / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:39,
1993-01,6350823,
1993-02,7140556,
1993-03,7541090,
1993-04,7295735,
1993-05,6470734,
1993-06,7026323,
1993-07,7123990,
1993-08,7222074,
1993-09,7324130,
1993-10,7512566,
1993-11,7110078,
1993-12,7498127,
1994-01,7289572,
1994-02,7133674,
1994-03,8536920,
1994-04,7011419,
1994-05,7516868,
1994-06,7418135,
1994-07,7369485,
1994-08,7626357,
1994-09,7522145,
1994-10,7646503,
1994-11,7608844,
1994-12,8648375,
1995-01,7062635,
1995-02,7643749,
1995-03,8493460,
1995-04,7017003,
1995-05,7803785,
1995-06,7749906,
1995-07,7284571,
1995-08,7696957,
1995-09,7932269,
1995-10,8371466,
1995-11,8302585,
1995-12,7928042,
1996-01,7887561,
1996-02,7847453,
1996-03,8509416,
1996-04,8044413,
1996-05,7898313,
1996-06,7723962,
1996-07,8229106,
1996-08,7666465,
1996-09,8175493,
1996-10,8488183,
1996-11,8328625,
1996-12,7514844,
1997-01,9183354,
1997-02,8182194,
1997-03,8364158,
1997-04,9947798,
1997-05,8534732,
1997-06,8874361,
1997-07,9543818,
1997-08,8659580,
1997-09,9996686,
1997-10,10372704,
1997-11,9569972,
1997-12,9037006,
1998-01,9983779,
1998-02,9418820,
1998-03,10546940,
1998-04,10406599,
1998-05,9027091,
1998-06,10142368,
1998-07,9978664,
1998-08,9242742,
1998-09,9960723,
1998-10,10416111,
1998-11,9651434,
1998-12,10183265,
1999-01,8912394,
1999-02,9529692,
1999-03,10775825,
1999-04,10504820,
1999-05,9740451,
1999-06,10454268,
1999-07,10727767,
1999-08,10165719,
1999-09,11237008,
1999-10,11049160,
1999-11,11559752,
1999-12,11583318,
2000-01,11676291,
2000-02,11552586,
2000-03,14033012,
2000-04,12054625,
2000-05,14653268,
2000-06,13346254,
2000-07,13069485,
2000-08,14074354,
2000-09,13917180,
2000-10,15693670,
2000-11,15528259,
2000-12,14440773,
2001-01,14611567,
2001-02,13209749,
2001-03,13828994,
2001-04,13340603,
2001-05,13280263,
2001-06,13022107,
2001-07,13098270,
2001-08,12977395,
2001-09,11855784,
2001-10,13497431,
2001-11,13450613,
2001-12,11026264,
2002-01,11531636,
2002-02,11215604,
2002-03,12150957,
2002-04,13357299,
2002-05,11051072,
2002-06,12386762,
2002-07,11628926,
2002-08,12137053,
2002-09,11822358,
2002-10,13527588,
2002-11,13102131,
2002-12,11038273,
2003-01,13496492,
2003-02,11628934,
2003-03,12476989,
2003-04,12794870,
2003-05,11585124,
2003-06,12257849,
2003-07,12178858,
2003-08,11609528,
2003-09,12291830,
2003-10,13370173,
2003-11,13036332,
2003-12,12168104,
2004-01,12338953,
2004-02,11964361,
2004-03,13148613,
2004-04,13513852,
2004-05,13338860,
2004-06,13869264,
2004-07,14020149,
2004-08,13733787,
2004-09,14607769,
2004-10,15693648,
2004-11,15801379,
2004-12,14101441,
2005-01,13891236,
2005-02,12720760,
2005-03,13438765,
2005-04,15029756,
2005-05,14537419,
2005-06,15205118,
2005-07,14988483,
2005-08,15603842,
2005-09,16318903,
2005-10,16998841,
2005-11,17299759,
2005-12,17907582,
2006-01,17336051,
2006-02,17242651,
2006-03,18166111,
2006-04,17108165,
2006-05,17789391,
2006-06,17915169,
2006-07,18149308,
2006-08,18273848,
2006-09,19281026,
2006-10,20418953,
2006-11,20118458,
2006-12,18946338,
2007-01,18916177,
2007-02,19659895,
2007-03,18912193,
2007-04,18187643,
2007-05,17948060,
2007-06,18142836,
2007-07,18283526,
2007-08,20023114,
2007-09,18947430,
2007-10,20452800,
2007-11,19284033,
2007-12,18811790,
2008-01,20000226,
2008-02,18699169,
2008-03,18842990,
2008-04,19642545,
2008-05,18451840,
2008-06,19089312,
2008-07,20655287,
2008-08,20210928,
2008-09,20778415,
2008-10,21617148,
2008-11,20547317,
2008-12,19514524,
2009-01,18097674,
2009-02,17004063,
2009-03,16750645,
2009-04,15945814,
2009-05,14551168,
2009-06,15338856,
2009-07,16595771,
2009-08,15956884,
2009-09,18220445,
2009-10,17439319,
2009-11,17532798,
2009-12,16869540,
2010-01,17727638,
2010-02,16644861,
2010-03,21834510,
2010-04,19511439,
2010-05,20452683,
2010-06,22856384,
2010-07,21904344,
2010-08,22691901,
2010-09,23257716,
2010-10,22320720,
2010-11,24962435,
2010-12,21212433,
2011-01,23104502,
2011-02,22580533,
2011-03,23526886,
2011-04,22787441,
2011-05,23665728,
2011-06,22691616,
2011-07,23128944,
2011-08,24613944,
2011-09,23540597,
2011-10,24453754,
2011-11,24003302,
2011-12,21555515,
2012-01,22897346,
2012-02,22821465,
2012-03,23955985,
2012-04,21553406,
2012-05,22772079,
2012-06,23230698,
2012-07,23065074,
2012-08,24681126,
2012-09,22690794,
2012-10,24751305,
2012-11,23194563,
2012-12,21006639,
2013-01,24106288,
2013-02,21155277,
2013-03,21502554,
2013-04,22360782,
2013-05,21384180,
2013-06,21520688,
2013-07,23231652,
