"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.DE.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.DE.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Germany / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:31,
2009-09,13100,
2009-10,13102,
2009-11,14168,
2009-12,14329,
2010-01,15024,
2010-02,16028,
2010-03,16677,
2010-04,17987,
2010-05,18514,
2010-06,18006,
2010-07,18430,
2010-08,18758,
2010-09,18634,
2010-10,17930,
2010-11,17798,
2010-12,18446,
2011-01,17579,
2011-02,17040,
2011-03,16382,
2011-04,16164,
2011-05,16584,
2011-06,16517,
2011-07,18147,
2011-08,19129,
2011-09,20082,
2011-10,19790,
2011-11,19390,
2011-12,18807,
2012-01,18878,
2012-02,18448,
2012-03,17652,
2012-04,17930,
2012-05,18416,
2012-06,17842,
2012-07,17787,
2012-08,17210,
2012-09,16723,
2012-10,16355,
2012-11,16073,
2012-12,16048,
2013-01,16124,
2013-02,17384,
2013-03,17523,
2013-04,17447,
2013-05,17753,
2013-06,17184,
2013-07,17393,
2013-08,17148,
2013-09,16934,
2013-10,16543,
2013-11,15465,
2013-12,15040,
2014-01,15000,
2014-02,15199,
2014-03,14784,
2014-04,14974,
2014-05,14854,
2014-06,14894,
2014-07,15283,
2014-08,15540,
2014-09,15109,
2014-10,15005,
2014-11,14719,
