"",BBK01.OEBL04R,BBK01.OEBL04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:24,
2002-01,0.113,
2002-04,0.101,
2002-07,0.101,
2002-10,0.110,
2003-01,0.098,
2003-04,0.096,
2003-07,0.102,
2003-10,0.085,
2004-01,0.081,
2004-04,0.078,
2004-07,0.072,
2004-10,0.072,
2005-01,0.106,
2005-04,0.108,
2005-07,0.103,
2005-10,0.101,
2006-01,0.106,
2006-04,0.112,
2006-07,0.116,
2006-10,0.126,
2007-01,0.143,
2007-04,0.149,
2007-07,0.165,
2007-10,0.196,
2008-01,0.234,
2008-04,0.252,
2008-07,0.311,
2008-10,0.314,
2009-01,0.279,
2009-04,0.253,
2009-07,0.190,
2009-10,0.149,
2010-01,0.126,
2010-04,0.118,
2010-07,0.090,
2010-10,0.068,
2011-01,0.063,
2011-04,0.063,
2011-07,0.052,
2011-10,0.086,
2012-01,0.099,
2012-04,0.096,
2012-07,0.092,
2012-10,0.079,
2013-01,0.067,
2013-04,0.067,
2013-07,0.061,
2013-10,0.052,
2014-01,0.053,
2014-04,0.052,
2014-07,0.048,
