"",BBFN1.M.DE.N.1.A.IN.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IN.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / India,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:41,
1995-01,0.051,
1995-02,0.055,
1995-03,0.053,
1995-04,0.053,
1995-05,0.054,
1995-06,0.054,
1995-07,0.065,
1995-08,0.064,
1995-09,0.062,
1995-10,0.055,
1995-11,0.066,
1995-12,0.056,
1996-01,0.058,
1996-02,0.058,
1996-03,0.060,
1996-04,0.061,
1996-05,0.062,
1996-06,0.063,
1996-07,0.061,
1996-08,0.063,
1996-09,0.066,
1996-10,0.070,
1996-11,0.069,
1996-12,0.066,
1997-01,0.064,
1997-02,0.069,
1997-03,0.071,
1997-04,0.073,
1997-05,0.084,
1997-06,0.083,
1997-07,0.089,
1997-08,0.089,
1997-09,0.092,
1997-10,0.092,
1997-11,0.093,
1997-12,0.093,
1998-01,0.093,
1998-02,0.094,
1998-03,0.104,
1998-04,0.108,
1998-05,0.126,
1998-06,0.107,
1998-07,0.112,
1998-08,0.100,
1998-09,0.098,
1998-10,0.099,
1998-11,0.100,
1998-12,0.095,
1999-01,0.095,
1999-02,0.095,
1999-03,0.096,
1999-04,0.101,
1999-05,0.095,
1999-06,0.095,
1999-07,0.100,
1999-08,0.104,
1999-09,0.108,
1999-10,0.099,
1999-11,0.100,
1999-12,0.100,
2000-01,0.105,
2000-02,0.115,
2000-03,0.106,
2000-04,0.112,
2000-05,0.105,
2000-06,0.100,
2000-07,0.108,
2000-08,0.111,
2000-09,0.104,
2000-10,0.102,
2000-11,0.105,
2000-12,0.112,
2001-01,0.120,
2001-02,0.112,
2001-03,0.119,
2001-04,0.119,
2001-05,0.119,
2001-06,0.119,
2001-07,0.115,
2001-08,0.119,
2001-09,0.116,
2001-10,0.146,
2001-11,0.145,
2001-12,0.135,
2002-01,0.138,
2002-02,0.147,
2002-03,0.149,
2002-04,0.152,
2002-05,0.196,
2002-06,0.180,
2002-07,0.187,
2002-08,0.179,
2002-09,0.183,
2002-10,0.161,
2002-11,0.150,
2002-12,0.151,
2003-01,0.149,
2003-02,0.152,
2003-03,0.163,
2003-04,0.169,
2003-05,0.232,
2003-06,0.242,
2003-07,0.239,
2003-08,0.239,
2003-09,0.246,
2003-10,0.295,
2003-11,0.344,
2003-12,0.336,
2004-01,0.358,
2004-02,0.365,
2004-03,0.393,
2004-04,0.390,
2004-05,0.393,
2004-06,0.393,
2004-07,0.347,
2004-08,0.398,
2004-09,0.451,
2004-10,0.412,
2004-11,0.359,
2004-12,0.353,
2005-01,0.356,
2005-02,0.364,
2005-03,0.368,
2005-04,0.385,
2005-05,0.399,
2005-06,0.447,
2005-07,0.454,
2005-08,0.448,
2005-09,0.428,
2005-10,0.440,
2005-11,0.435,
2005-12,0.454,
2006-01,0.465,
2006-02,0.474,
2006-03,0.480,
2006-04,0.506,
2006-05,0.507,
2006-06,0.501,
2006-07,0.504,
2006-08,0.543,
2006-09,0.579,
2006-10,0.616,
2006-11,0.598,
2006-12,0.593,
2007-01,0.558,
2007-02,0.550,
2007-03,0.572,
2007-04,0.519,
2007-05,0.530,
2007-06,0.549,
2007-07,0.550,
2007-08,0.596,
2007-09,0.586,
2007-10,0.589,
2007-11,0.616,
2007-12,0.605,
2008-01,0.563,
2008-02,0.557,
2008-03,0.551,
2008-04,0.574,
2008-05,0.532,
2008-06,0.528,
2008-07,0.534,
2008-08,0.558,
2008-09,0.554,
2008-10,0.572,
2008-11,0.568,
2008-12,0.542,
2009-01,0.566,
2009-02,0.585,
2009-03,0.587,
2009-04,0.604,
2009-05,0.616,
2009-06,0.631,
2009-07,0.622,
2009-08,0.654,
2009-09,0.602,
2009-10,0.628,
2009-11,0.666,
2009-12,0.690,
2010-01,0.690,
2010-02,0.726,
2010-03,0.759,
2010-04,0.775,
2010-05,0.817,
2010-06,0.845,
2010-07,0.852,
2010-08,0.879,
2010-09,0.864,
2010-10,0.863,
2010-11,0.891,
2010-12,0.888,
2011-01,0.891,
2011-02,0.926,
2011-03,0.969,
2011-04,0.983,
2011-05,1.049,
2011-06,1.089,
2011-07,1.116,
2011-08,1.214,
2011-09,1.107,
2011-10,1.140,
2011-11,1.167,
2011-12,1.155,
2012-01,1.170,
2012-02,1.201,
2012-03,1.203,
2012-04,1.212,
2012-05,1.328,
2012-06,1.372,
2012-07,1.387,
2012-08,1.405,
2012-09,1.362,
2012-10,1.299,
2012-11,1.280,
2012-12,1.293,
2013-01,1.343,
2013-02,1.394,
2013-03,1.426,
2013-04,1.476,
2013-05,1.513,
2013-06,1.540,
2013-07,1.394,
2013-08,1.486,
2013-09,1.447,
2013-10,1.395,
2013-11,1.402,
2013-12,1.444,
2014-01,1.527,
2014-02,1.462,
2014-03,1.527,
2014-04,1.541,
2014-05,1.576,
2014-06,1.563,
2014-07,1.559,
2014-08,1.550,
2014-09,1.533,
2014-10,1.605,
2014-11,1.567,
2014-12,1.537,
