"",BBFN1.M.DE.N.1.L.W03100.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:03,
1995-01,3.111,
1995-02,3.030,
1995-03,3.211,
1995-04,3.299,
1995-05,3.351,
1995-06,3.346,
1995-07,3.327,
1995-08,3.446,
1995-09,3.228,
1995-10,3.285,
1995-11,3.108,
1995-12,3.733,
1996-01,3.330,
1996-02,3.268,
1996-03,3.362,
1996-04,3.611,
1996-05,3.485,
1996-06,3.653,
1996-07,3.674,
1996-08,3.597,
1996-09,3.951,
1996-10,3.833,
1996-11,3.896,
1996-12,4.867,
1997-01,4.844,
1997-02,4.906,
1997-03,4.556,
1997-04,4.448,
1997-05,4.682,
1997-06,5.177,
1997-07,4.787,
1997-08,5.025,
1997-09,5.135,
1997-10,4.998,
1997-11,4.811,
1997-12,5.294,
1998-01,5.214,
1998-02,5.457,
1998-03,5.430,
1998-04,5.619,
1998-05,5.585,
1998-06,7.401,
1998-07,7.267,
1998-08,7.311,
1998-09,7.191,
1998-10,7.146,
1998-11,6.967,
1998-12,7.520,
1999-01,7.551,
1999-02,7.419,
1999-03,7.244,
1999-04,7.206,
1999-05,7.429,
1999-06,7.400,
1999-07,7.161,
1999-08,7.289,
1999-09,7.252,
1999-10,14.237,
1999-11,10.333,
1999-12,6.744,
2000-01,6.935,
2000-02,6.967,
2000-03,7.131,
2000-04,7.068,
2000-05,7.238,
2000-06,7.809,
2000-07,8.517,
2000-08,9.478,
2000-09,9.736,
2000-10,9.988,
2000-11,9.653,
2000-12,9.947,
2001-01,9.130,
2001-02,9.294,
2001-03,9.582,
2001-04,9.452,
2001-05,9.809,
2001-06,11.929,
2001-07,11.866,
2001-08,11.725,
2001-09,12.120,
2001-10,12.480,
2001-11,8.791,
2001-12,8.849,
2002-01,8.276,
2002-02,8.396,
2002-03,8.421,
2002-04,8.494,
2002-05,8.356,
2002-06,8.879,
2002-07,8.867,
2002-08,8.739,
2002-09,9.043,
2002-10,8.208,
2002-11,8.504,
2002-12,9.284,
2003-01,10.365,
2003-02,10.164,
2003-03,10.823,
2003-04,10.158,
2003-05,9.907,
2003-06,10.005,
2003-07,9.441,
2003-08,9.274,
2003-09,8.991,
2003-10,8.805,
2003-11,9.433,
2003-12,9.272,
2004-01,8.927,
2004-02,9.636,
2004-03,9.974,
2004-04,9.873,
2004-05,6.713,
2004-06,7.096,
2004-07,7.019,
2004-08,6.473,
2004-09,6.519,
2004-10,6.554,
2004-11,6.463,
2004-12,6.652,
2005-01,6.532,
2005-02,6.115,
2005-03,5.903,
2005-04,6.147,
2005-05,6.259,
2005-06,6.256,
2005-07,6.131,
2005-08,6.368,
2005-09,6.793,
2005-10,6.700,
2005-11,7.009,
2005-12,7.112,
2006-01,6.818,
2006-02,6.977,
2006-03,6.631,
2006-04,7.140,
2006-05,7.301,
2006-06,7.568,
2006-07,7.233,
2006-08,6.967,
2006-09,7.904,
2006-10,7.898,
2006-11,7.968,
2006-12,8.800,
2007-01,7.686,
2007-02,8.307,
2007-03,9.306,
2007-04,10.650,
2007-05,9.325,
2007-06,9.944,
2007-07,9.772,
2007-08,10.425,
2007-09,10.427,
2007-10,10.299,
2007-11,10.902,
2007-12,10.171,
2008-01,7.264,
2008-02,7.326,
2008-03,7.572,
2008-04,7.844,
2008-05,8.062,
2008-06,8.278,
2008-07,8.039,
2008-08,8.446,
2008-09,9.029,
2008-10,9.714,
2008-11,9.669,
2008-12,9.905,
2009-01,9.261,
2009-02,8.921,
2009-03,9.650,
2009-04,9.806,
2009-05,9.733,
2009-06,9.768,
2009-07,9.603,
2009-08,9.645,
2009-09,10.391,
2009-10,10.230,
2009-11,10.357,
2009-12,14.322,
2010-01,9.354,
2010-02,9.440,
2010-03,9.861,
2010-04,9.495,
2010-05,9.280,
2010-06,9.702,
2010-07,9.581,
2010-08,9.878,
2010-09,10.187,
2010-10,10.406,
2010-11,10.834,
2010-12,11.175,
2011-01,11.114,
2011-02,11.087,
2011-03,11.834,
2011-04,11.702,
2011-05,10.818,
2011-06,10.968,
2011-07,11.035,
2011-08,10.942,
2011-09,11.248,
2011-10,12.027,
2011-11,12.521,
2011-12,12.951,
2012-01,12.621,
2012-02,12.332,
2012-03,12.598,
2012-04,12.742,
2012-05,12.670,
2012-06,13.110,
2012-07,13.500,
2012-08,13.497,
2012-09,14.191,
2012-10,13.795,
2012-11,13.903,
2012-12,14.178,
2013-01,13.430,
2013-02,13.544,
2013-03,13.895,
2013-04,13.373,
2013-05,12.962,
2013-06,12.720,
2013-07,12.313,
2013-08,13.100,
2013-09,13.189,
2013-10,12.886,
2013-11,12.272,
2013-12,13.789,
2014-01,13.846,
2014-02,13.328,
2014-03,13.201,
2014-04,11.683,
2014-05,11.822,
2014-06,11.726,
2014-07,11.631,
2014-08,11.846,
2014-09,12.436,
2014-10,12.616,
2014-11,12.565,
2014-12,13.588,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
