"",BBK01.OEXO03R,BBK01.OEXO03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:17,
2002-01,0.184,
2002-04,0.185,
2002-07,0.159,
2002-10,0.123,
2003-01,0.176,
2003-04,0.159,
2003-07,0.137,
2003-10,0.125,
2004-01,0.153,
2004-04,0.130,
2004-07,0.117,
2004-10,0.097,
2005-01,0.111,
2005-04,0.101,
2005-07,0.119,
2005-10,0.106,
2006-01,0.138,
2006-04,0.129,
2006-07,0.128,
2006-10,0.134,
2007-01,0.194,
2007-04,0.140,
2007-07,0.177,
2007-10,0.152,
2008-01,0.199,
2008-04,0.166,
2008-07,0.203,
2008-10,0.254,
2009-01,0.231,
2009-04,0.210,
2009-07,0.179,
2009-10,0.237,
2010-01,0.209,
2010-04,0.125,
2010-07,0.127,
2010-10,0.141,
2011-01,0.166,
2011-04,0.137,
2011-07,0.130,
2011-10,0.127,
2012-01,0.168,
2012-04,0.120,
2012-07,0.132,
2012-10,0.148,
2013-01,0.167,
2013-04,0.141,
2013-07,0.101,
2013-10,0.096,
2014-01,0.100,
2014-04,0.095,
2014-07,0.095,
