"",BBK01.OEAF32M,BBK01.OEAF32M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:35,
2002-01,77.441,
2002-04,78.121,
2002-07,79.906,
2002-10,80.762,
2003-01,82.577,
2003-04,83.754,
2003-07,85.336,
2003-10,85.342,
2004-01,85.866,
2004-04,86.074,
2004-07,85.204,
2004-10,86.519,
2005-01,90.185,
2005-04,92.365,
2005-07,93.860,
2005-10,94.786,
2006-01,95.075,
2006-04,96.863,
2006-07,97.059,
2006-10,97.256,
2007-01,99.783,
2007-04,97.480,
2007-07,97.603,
2007-10,97.358,
2008-01,96.921,
2008-04,97.185,
2008-07,96.697,
2008-10,96.437,
2009-01,96.189,
2009-04,97.170,
2009-07,97.459,
2009-10,96.739,
2010-01,96.163,
2010-04,96.418,
2010-07,96.537,
2010-10,96.300,
2011-01,96.092,
2011-04,96.047,
2011-07,95.928,
2011-10,95.733,
2012-01,95.335,
2012-04,95.591,
2012-07,95.674,
2012-10,95.562,
2013-01,95.263,
2013-04,95.308,
2013-07,95.715,
2013-10,95.704,
2014-01,95.483,
2014-04,95.848,
2014-07,96.079,
