"",BBK01.OECI08P,BBK01.OECI08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:09,
2002-01,0.176,
2002-04,0.131,
2002-07,0.129,
2002-10,0.143,
2003-01,0.137,
2003-04,0.136,
2003-07,0.156,
2003-10,0.163,
2004-01,0.160,
2004-04,0.159,
2004-07,0.185,
2004-10,0.206,
2005-01,0.561,
2005-04,0.560,
2005-07,0.554,
2005-10,0.544,
2006-01,0.538,
2006-04,0.527,
2006-07,0.508,
2006-10,0.496,
2007-01,0.506,
2007-04,0.495,
2007-07,0.490,
2007-10,0.495,
2008-01,0.490,
2008-04,0.508,
2008-07,0.494,
2008-10,0.498,
2009-01,0.519,
2009-04,0.564,
2009-07,0.590,
2009-10,0.610,
2010-01,0.622,
2010-04,0.616,
2010-07,0.617,
2010-10,0.628,
2011-01,0.624,
2011-04,0.602,
2011-07,0.593,
2011-10,0.602,
2012-01,0.659,
2012-04,0.644,
2012-07,0.634,
2012-10,0.644,
2013-01,0.638,
2013-04,0.625,
2013-07,0.601,
2013-10,0.594,
2014-01,0.575,
2014-04,0.563,
2014-07,0.573,
