"",BBK01.OELJ07M,BBK01.OELJ07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:59,
2002-01,0.167,
2002-04,0.170,
2002-07,0.166,
2002-10,0.240,
2003-01,0.246,
2003-04,0.246,
2003-07,0.220,
2003-10,0.173,
2004-01,0.179,
2004-04,0.185,
2004-07,0.175,
2004-10,0.174,
2005-01,0.182,
2005-04,0.185,
2005-07,0.161,
2005-10,0.151,
2006-01,0.156,
2006-04,0.157,
2006-07,0.156,
2006-10,0.143,
2007-01,0.142,
2007-04,0.144,
2007-07,0.153,
2007-10,0.172,
2008-01,0.168,
2008-04,0.155,
2008-07,0.151,
2008-10,0.149,
2009-01,0.157,
2009-04,0.164,
2009-07,0.174,
2009-10,0.182,
2010-01,0.194,
2010-04,0.195,
2010-07,0.201,
2010-10,0.206,
2011-01,0.207,
2011-04,0.215,
2011-07,0.218,
2011-10,0.211,
2012-01,0.211,
2012-04,0.212,
2012-07,0.215,
2012-10,0.214,
2013-01,0.220,
2013-04,0.237,
2013-07,0.245,
2013-10,0.254,
2014-01,0.263,
2014-04,0.278,
2014-07,0.289,
