"",BBK01.OEAD22H,BBK01.OEAD22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:50,
2002-01,0.195,
2002-04,0.271,
2002-07,0.269,
2002-10,0.280,
2003-01,0.281,
2003-04,0.317,
2003-07,0.309,
2003-10,0.316,
2004-01,0.255,
2004-04,0.256,
2004-07,0.285,
2004-10,0.255,
2005-01,0.229,
2005-04,0.224,
2005-07,0.267,
2005-10,0.191,
2006-01,0.219,
2006-04,0.530,
2006-07,0.649,
2006-10,0.579,
2007-01,0.738,
2007-04,0.544,
2007-07,0.482,
2007-10,0.307,
2008-01,0.290,
2008-04,0.296,
2008-07,0.272,
2008-10,0.262,
2009-01,0.312,
2009-04,0.321,
2009-07,0.360,
2009-10,0.365,
2010-01,0.327,
2010-04,0.320,
2010-07,0.248,
2010-10,0.228,
2011-01,0.232,
2011-04,0.226,
2011-07,0.225,
2011-10,0.261,
2012-01,0.307,
2012-04,0.315,
2012-07,0.395,
2012-10,0.430,
2013-01,0.435,
2013-04,0.435,
2013-07,0.429,
2013-10,0.410,
2014-01,0.403,
2014-04,0.417,
2014-07,0.399,
