"",BBFB1.Q.N.DE.CZ.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:54,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,42.651,
1993-04,2.429,
1993-07,-18.348,
1993-10,56.178,
1994-01,-2.170,
1994-04,120.505,
1994-07,-38.357,
1994-10,32.122,
1995-01,28.986,
1995-04,203.384,
1995-07,351.801,
1995-10,567.447,
1996-01,-46.776,
1996-04,67.649,
1996-07,20.684,
1996-10,138.235,
1997-01,89.577,
1997-04,223.696,
1997-07,13.842,
1997-10,0.758,
1998-01,-120.575,
1998-04,101.248,
1998-07,-76.416,
1998-10,37.454,
1999-01,-51.298,
1999-04,-130.187,
1999-07,-225.464,
1999-10,-111.749,
2000-01,-280.234,
2000-04,-317.164,
2000-07,-222.831,
2000-10,152.133,
2001-01,-13.925,
2001-04,-3.260,
2001-07,-413.175,
2001-10,-218.159,
2002-01,-245.412,
2002-04,-167.154,
2002-07,-245.823,
2002-10,-370.890,
2003-01,-483.084,
2003-04,-383.884,
2003-07,-235.851,
2003-10,-722.386,
2004-01,-201.942,
2004-04,313.370,
2004-07,293.056,
2004-10,-4.026,
2005-01,-117.975,
2005-04,-103.980,
2005-07,-263.831,
2005-10,372.100,
2006-01,-170.021,
2006-04,-240.769,
2006-07,-267.894,
2006-10,-135.744,
2007-01,-272.084,
2007-04,-411.511,
2007-07,-402.031,
2007-10,-264.699,
2008-01,-169.990,
2008-04,-675.653,
2008-07,-825.976,
2008-10,-675.906,
2009-01,-1079.646,
2009-04,-1018.145,
2009-07,-879.989,
2009-10,-752.952,
2010-01,-812.336,
2010-04,-736.386,
2010-07,-498.865,
2010-10,-438.779,
2011-01,-442.681,
2011-04,-470.408,
2011-07,-349.538,
2011-10,-527.918,
2012-01,-40.115,
2012-04,-321.014,
2012-07,-0.900,
2012-10,-349.088,
2013-01,-356.035,
2013-04,-633.925,
2013-07,-567.965,
2013-10,-647.337,
2014-01,-529.453,Provisional value
2014-04,-918.453,Provisional value
2014-07,-722.176,Provisional value
