"",BBK01.OEYB23N,BBK01.OEYB23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:35,
2002-01,3.604,
2002-04,2.689,
2002-07,3.391,
2002-10,4.048,
2003-01,6.458,
2003-04,6.072,
2003-07,6.708,
2003-10,5.265,
2004-01,5.869,
2004-04,5.343,
2004-07,5.350,
2004-10,5.437,
2005-01,5.383,
2005-04,5.560,
2005-07,6.624,
2005-10,7.041,
2006-01,7.222,
2006-04,6.841,
2006-07,6.883,
2006-10,6.988,
2007-01,6.714,
2007-04,8.316,
2007-07,8.557,
2007-10,7.765,
2008-01,8.362,
2008-04,8.266,
2008-07,4.520,
2008-10,4.318,
2009-01,4.423,
2009-04,5.150,
2009-07,5.701,
2009-10,5.947,
2010-01,5.948,
2010-04,6.289,
2010-07,6.523,
2010-10,6.741,
2011-01,7.642,
2011-04,7.736,
2011-07,7.986,
2011-10,8.103,
2012-01,8.507,
2012-04,8.514,
2012-07,7.855,
2012-10,7.492,
2013-01,7.338,
2013-04,7.022,
2013-07,6.852,
2013-10,6.442,
2014-01,5.931,
2014-04,5.875,
2014-07,5.602,
