"",BBK01.OEAF11N,BBK01.OEAF11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:42,
2002-01,10.812,
2002-04,10.608,
2002-07,11.204,
2002-10,11.832,
2003-01,11.121,
2003-04,11.160,
2003-07,11.144,
2003-10,10.948,
2004-01,9.992,
2004-04,9.746,
2004-07,10.114,
2004-10,9.722,
2005-01,9.972,
2005-04,9.858,
2005-07,9.677,
2005-10,10.917,
2006-01,10.081,
2006-04,10.131,
2006-07,10.298,
2006-10,10.297,
2007-01,9.914,
2007-04,10.019,
2007-07,9.864,
2007-10,9.868,
2008-01,9.642,
2008-04,9.554,
2008-07,9.710,
2008-10,9.798,
2009-01,10.092,
2009-04,9.869,
2009-07,9.648,
2009-10,9.151,
2010-01,8.749,
2010-04,8.900,
2010-07,8.743,
2010-10,8.225,
2011-01,8.215,
2011-04,8.527,
2011-07,8.517,
2011-10,8.604,
2012-01,8.574,
2012-04,8.489,
2012-07,8.638,
2012-10,8.338,
2013-01,7.999,
2013-04,7.794,
2013-07,7.951,
2013-10,7.522,
2014-01,7.690,
2014-04,7.175,
2014-07,7.095,
