"",BBSF2.M.1.T.00000.SON01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Other funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:36,
2009-09,166,
2009-10,197,
2009-11,193,
2009-12,222,
2010-01,251,
2010-02,244,
2010-03,317,
2010-04,291,
2010-05,317,
2010-06,318,
2010-07,343,
2010-08,423,
2010-09,407,
2010-10,534,
2010-11,385,
2010-12,433,
2011-01,469,
2011-02,455,
2011-03,417,
2011-04,448,
2011-05,374,
2011-06,388,
2011-07,369,
2011-08,447,
2011-09,408,
2011-10,527,
2011-11,719,
2011-12,612,
2012-01,661,
2012-02,676,
2012-03,675,
2012-04,628,
2012-05,590,
2012-06,738,
2012-07,638,
2012-08,682,
2012-09,813,
2012-10,903,
2012-11,949,
2012-12,1024,
2013-01,1020,
2013-02,1035,
2013-03,1018,
2013-04,1159,
2013-05,1400,
2013-06,1342,
2013-07,1433,
2013-08,1401,
2013-09,1523,
2013-10,1657,
2013-11,1672,
2013-12,1719,
2014-01,1509,
2014-02,1562,
2014-03,1620,
2014-04,1657,
2014-05,1695,
2014-06,1704,
2014-07,1781,
2014-08,1885,
2014-09,1932,
2014-10,1916,
2014-11,1961,
