"",BBK01.OEBB16Q,BBK01.OEBB16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:20,
2002-01,2.119,
2002-04,2.117,
2002-07,2.099,
2002-10,2.068,
2003-01,2.054,
2003-04,2.047,
2003-07,2.014,
2003-10,2.010,
2004-01,1.984,
2004-04,1.978,
2004-07,1.949,
2004-10,1.905,
2005-01,1.907,
2005-04,1.862,
2005-07,1.838,
2005-10,1.788,
2006-01,1.769,
2006-04,1.742,
2006-07,1.736,
2006-10,1.717,
2007-01,1.684,
2007-04,1.669,
2007-07,1.644,
2007-10,1.603,
2008-01,1.560,
2008-04,1.550,
2008-07,1.491,
2008-10,1.457,
2009-01,1.420,
2009-04,1.691,
2009-07,1.679,
2009-10,1.679,
2010-01,1.650,
2010-04,1.634,
2010-07,1.793,
2010-10,1.796,
2011-01,1.642,
2011-04,1.638,
2011-07,1.617,
2011-10,1.597,
2012-01,1.602,
2012-04,1.599,
2012-07,1.604,
2012-10,1.617,
2013-01,1.635,
2013-04,1.583,
2013-07,1.610,
2013-10,1.608,
2014-01,1.607,
2014-04,1.580,
2014-07,1.598,
