"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F512._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F512._Z._T._X.N_FLAGS
"",IIP - Direct investment - Unlisted shares - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:38,
1999-10,57976,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,110727,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,88878,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,100374,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,117217,
2004-01,120405,
2004-04,119754,
2004-07,121959,
2004-10,130585,
2005-01,128892,
2005-04,131098,
2005-07,132417,
2005-10,143052,
2006-01,146350,
2006-04,147259,
2006-07,149470,
2006-10,163752,
2007-01,169735,
2007-04,175699,
2007-07,180428,
2007-10,185338,
2008-01,181936,
2008-04,179356,
2008-07,175433,
2008-10,172533,
2009-01,171817,
2009-04,170985,
2009-07,170709,
2009-10,172948,
2010-01,174879,
2010-04,176657,
2010-07,180130,
2010-10,183796,
2011-01,184969,
2011-04,186322,
2011-07,189897,
2011-10,192472,
2012-01,194241,
2012-04,194138,
2012-07,192591,
2012-10,196096,
2013-01,199039,
2013-04,197951,
2013-07,198755,
2013-10,199964,
2014-01,202225,
2014-04,203043,
2014-07,205290,
