"",BBK01.OEAE33P,BBK01.OEAE33P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:16,
2002-01,0.493,
2002-04,0.503,
2002-07,0.512,
2002-10,0.525,
2003-01,0.515,
2003-04,0.527,
2003-07,0.539,
2003-10,0.559,
2004-01,0.561,
2004-04,0.558,
2004-07,0.554,
2004-10,0.544,
2005-01,0.550,
2005-04,0.549,
2005-07,0.535,
2005-10,0.543,
2006-01,0.554,
2006-04,0.563,
2006-07,0.545,
2006-10,0.569,
2007-01,0.581,
2007-04,0.577,
2007-07,0.593,
2007-10,0.585,
2008-01,0.579,
2008-04,0.549,
2008-07,0.554,
2008-10,0.591,
2009-01,0.614,
2009-04,0.607,
2009-07,0.615,
2009-10,0.592,
2010-01,0.614,
2010-04,0.618,
2010-07,0.613,
2010-10,0.615,
2011-01,0.604,
2011-04,0.601,
2011-07,0.604,
2011-10,0.599,
2012-01,0.601,
2012-04,0.607,
2012-07,0.594,
2012-10,0.593,
2013-01,0.584,
2013-04,0.615,
2013-07,0.609,
2013-10,0.622,
2014-01,0.619,
2014-04,0.626,
2014-07,0.644,
