"",BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Direct investment / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:07,
1991-01,-1.055,
1991-04,-5.902,
1991-07,4.328,
1991-10,-6.101,
1992-01,-3.475,
1992-04,-3.465,
1992-07,4.103,
1992-10,-3.533,
1993-01,12.807,
1993-04,4.622,
1993-07,17.929,
1993-10,30.200,
1994-01,-0.523,
1994-04,-0.523,
1994-07,23.763,
1994-10,23.308,
1995-01,5.687,
1995-04,27.627,
1995-07,5.287,
1995-10,25.425,
1996-01,5.774,
1996-04,9.709,
1996-07,31.232,
1996-10,36.176,
1997-01,-7.970,
1997-04,48.975,
1997-07,43.867,
1997-10,51.801,
1998-01,60.667,
1998-04,40.294,
1998-07,-33.481,
1998-10,20.803,
1999-01,197.714,
1999-04,-216.632,
1999-07,44.466,
1999-10,96.086,
2000-01,-189.184,
2000-04,66.183,
2000-07,102.803,
2000-10,56.142,
2001-01,-125.416,
2001-04,-137.544,
2001-07,-105.678,
2001-10,-86.097,
2002-01,-136.671,
2002-04,-55.180,
2002-07,3.784,
2002-10,-18.595,
2003-01,0.281,
2003-04,-78.969,
2003-07,64.852,
2003-10,133.371,
2004-01,220.178,
2004-04,-2.922,
2004-07,113.498,
2004-10,857.417,
2005-01,169.271,
2005-04,288.150,
2005-07,87.543,
2005-10,262.217,
2006-01,-206.916,
2006-04,319.623,
2006-07,262.268,
2006-10,88.287,
2007-01,-247.506,
2007-04,128.228,
2007-07,-54.859,
2007-10,-144.290,
2008-01,-476.836,
2008-04,-213.873,
2008-07,69.963,
2008-10,-214.432,
2009-01,146.060,
2009-04,-510.085,
2009-07,364.124,
2009-10,47.998,
2010-01,205.754,
2010-04,763.179,
2010-07,168.389,
2010-10,-500.121,
2011-01,-217.550,
2011-04,151.710,
2011-07,176.907,
2011-10,65.285,
2012-01,-66.825,
2012-04,299.755,
2012-07,186.824,
2012-10,-92.569,
2013-01,289.727,
2013-04,-80.464,
2013-07,135.046,
2013-10,-288.656,
2014-01,-255.926,Provisional value
2014-04,235.310,Provisional value
2014-07,-13.218,Provisional value
2014-10,737.247,Provisional value
