"",BBK01.OEXJ03S,BBK01.OEXJ03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:39,
2002-01,0.227,
2002-04,0.228,
2002-07,0.216,
2002-10,0.168,
2003-01,0.169,
2003-04,0.168,
2003-07,0.165,
2003-10,0.163,
2004-01,0.151,
2004-04,0.128,
2004-07,0.110,
2004-10,0.113,
2005-01,0.110,
2005-04,0.102,
2005-07,0.097,
2005-10,0.142,
2006-01,0.165,
2006-04,0.180,
2006-07,0.194,
2006-10,0.218,
2007-01,0.290,
2007-04,0.310,
2007-07,0.361,
2007-10,0.398,
2008-01,0.440,
2008-04,0.468,
2008-07,0.465,
2008-10,0.390,
2009-01,0.179,
2009-04,0.126,
2009-07,0.092,
2009-10,0.084,
2010-01,0.077,
2010-04,0.068,
2010-07,0.070,
2010-10,0.075,
2011-01,0.120,
2011-04,0.084,
2011-07,0.095,
2011-10,0.395,
2012-01,0.429,
2012-04,0.508,
2012-07,0.537,
2012-10,0.562,
2013-01,0.249,
2013-04,0.565,
2013-07,0.553,
2013-10,0.497,
2014-01,0.512,
2014-04,0.533,
2014-07,0.503,
