"",BBFB1.M.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Secondary income / Balance (Credits minus Debits) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:20,
1991-01,-2.04,
1991-02,-3.43,
1991-03,-5.71,
1991-04,-2.13,
1991-05,-2.22,
1991-06,-1.95,
1991-07,-2.03,
1991-08,-2.20,
1991-09,-2.17,
1991-10,-2.20,
1991-11,-2.30,
1991-12,-1.75,
1992-01,-2.19,
1992-02,-2.21,
1992-03,-2.71,
1992-04,-2.37,
1992-05,-2.06,
1992-06,-2.19,
1992-07,-2.41,
1992-08,-2.00,
1992-09,-2.18,
1992-10,-2.36,
1992-11,-1.86,
1992-12,-1.80,
1993-01,-1.93,
1993-02,-1.75,
1993-03,-2.57,
1993-04,-2.61,
1993-05,-2.46,
1993-06,-2.50,
1993-07,-2.46,
1993-08,-2.58,
1993-09,-2.35,
1993-10,-2.41,
1993-11,-2.43,
1993-12,-2.98,
1994-01,-2.69,
1994-02,-2.86,
1994-03,-1.89,
1994-04,-2.66,
1994-05,-2.66,
1994-06,-2.76,
1994-07,-2.91,
1994-08,-2.55,
1994-09,-2.73,
1994-10,-2.31,
1994-11,-2.70,
1994-12,-2.86,
1995-01,-1.99,
1995-02,-2.62,
1995-03,-2.20,
1995-04,-2.62,
1995-05,-2.83,
1995-06,-2.18,
1995-07,-2.39,
1995-08,-2.38,
1995-09,-2.43,
1995-10,-2.63,
1995-11,-2.42,
1995-12,-3.09,
1996-01,-2.30,
1996-02,-2.06,
1996-03,-2.77,
1996-04,-2.74,
1996-05,-2.87,
1996-06,-2.94,
1996-07,-2.52,
1996-08,-2.75,
1996-09,-0.53,
1996-10,-2.34,
1996-11,-2.51,
1996-12,-2.08,
1997-01,-3.06,
1997-02,-2.57,
1997-03,-2.37,
1997-04,-2.32,
1997-05,-2.26,
1997-06,-2.68,
1997-07,-2.65,
1997-08,-2.40,
1997-09,-2.65,
1997-10,-2.63,
1997-11,-2.54,
1997-12,-0.81,
1998-01,-3.72,
1998-02,-2.91,
1998-03,-2.67,
1998-04,-2.15,
1998-05,-2.02,
1998-06,-1.65,
1998-07,-2.00,
1998-08,-2.57,
1998-09,-2.50,
1998-10,-2.53,
1998-11,-2.75,
1998-12,-1.85,
1999-01,-2.36,
1999-02,-2.48,
1999-03,-1.75,
1999-04,-2.10,
1999-05,-2.11,
1999-06,-2.04,
1999-07,-2.25,
1999-08,-2.42,
1999-09,-2.45,
1999-10,-2.27,
1999-11,-2.38,
1999-12,-2.13,
2000-01,-3.17,
2000-02,-2.09,
2000-03,-2.08,
2000-04,-2.86,
2000-05,-2.52,
2000-06,-2.49,
2000-07,-2.84,
2000-08,-2.34,
2000-09,-1.41,
2000-10,-2.73,
2000-11,-2.50,
2000-12,-2.82,
2001-01,-2.13,
2001-02,-2.17,
2001-03,-3.10,
2001-04,-2.55,
2001-05,-3.10,
2001-06,-3.00,
2001-07,-2.36,
2001-08,-1.45,
2001-09,-1.86,
2001-10,-2.59,
2001-11,-2.44,
2001-12,-2.30,
2002-01,-1.64,
2002-02,-3.31,
2002-03,-2.87,
2002-04,-3.30,
2002-05,-2.92,
2002-06,-2.77,
2002-07,-1.92,
2002-08,-1.22,
2002-09,-2.36,
2002-10,-3.01,
2002-11,-2.48,
2002-12,-1.54,
2003-01,-2.83,
2003-02,-2.32,
2003-03,-2.23,
2003-04,-3.17,
2003-05,-3.02,
2003-06,-2.26,
2003-07,-2.67,
2003-08,-3.04,
2003-09,-2.77,
2003-10,-1.64,
2003-11,-2.69,
2003-12,-2.45,
2004-01,-3.01,
2004-02,-1.98,
2004-03,-2.54,
2004-04,-2.23,
2004-05,-3.28,
2004-06,-2.63,
2004-07,-3.00,
2004-08,-2.54,
2004-09,-2.58,
2004-10,-2.25,
2004-11,-1.96,
2004-12,-2.09,
2005-01,-5.36,
2005-02,-1.24,
2005-03,-2.36,
2005-04,-2.26,
2005-05,-2.95,
2005-06,-2.79,
2005-07,-2.24,
2005-08,-2.71,
2005-09,-2.76,
2005-10,-2.05,
2005-11,-2.54,
2005-12,-1.80,
2006-01,-1.68,
2006-02,-3.65,
2006-03,-2.55,
2006-04,-2.96,
2006-05,-2.27,
2006-06,-2.01,
2006-07,-3.26,
2006-08,-2.62,
2006-09,-2.92,
2006-10,-3.11,
2006-11,-2.41,
2006-12,-2.71,
2007-01,-2.56,
2007-02,-4.26,
2007-03,-2.47,
2007-04,-2.63,
2007-05,-2.09,
2007-06,-2.28,
2007-07,-2.84,
2007-08,-2.79,
2007-09,-2.89,
2007-10,-2.93,
2007-11,-2.96,
2007-12,-2.95,
2008-01,-2.73,
2008-02,-2.40,
2008-03,-2.86,
2008-04,-2.64,
2008-05,-1.91,
2008-06,-3.22,
2008-07,-2.77,
2008-08,-2.98,
2008-09,-2.76,
2008-10,-3.61,
2008-11,-3.02,
2008-12,-3.51,
2009-01,-2.87,
2009-02,-1.23,
2009-03,-3.13,
2009-04,-3.43,
2009-05,-2.30,
2009-06,-2.99,
2009-07,-2.46,
2009-08,-3.05,
2009-09,-2.70,
2009-10,-4.54,
2009-11,-3.36,
2009-12,-3.00,
2010-01,-3.39,
2010-02,-3.62,
2010-03,-2.77,
2010-04,-3.02,
2010-05,-3.29,
2010-06,-3.16,
2010-07,-3.59,
2010-08,-3.31,
2010-09,-3.71,
2010-10,-3.35,
2010-11,-3.41,
2010-12,-3.20,
2011-01,-2.79,
2011-02,-3.21,
2011-03,-2.86,
2011-04,-2.29,
2011-05,-2.47,
2011-06,-2.97,
2011-07,-3.36,
2011-08,-2.92,
2011-09,-3.23,
2011-10,-3.35,
2011-11,-3.18,
2011-12,-2.39,
2012-01,-2.89,
2012-02,-3.74,
2012-03,-3.42,
2012-04,-3.44,
2012-05,-3.31,
2012-06,-2.67,
2012-07,-2.50,
2012-08,-3.52,
2012-09,-3.32,
2012-10,-3.46,
2012-11,-2.97,
2012-12,-3.52,
2013-01,-4.41,
2013-02,-3.35,
2013-03,-3.30,
2013-04,-3.51,
2013-05,-4.36,
2013-06,-3.57,
2013-07,-3.60,
2013-08,-3.73,
2013-09,-3.23,
2013-10,-3.06,
2013-11,-2.28,
2013-12,-4.89,
2014-01,-3.34,
2014-02,-3.68,Provisional value
2014-03,-3.56,Provisional value
2014-04,-4.51,Provisional value
2014-05,-3.47,Provisional value
2014-06,-2.88,Provisional value
2014-07,-3.44,Provisional value
2014-08,-2.62,Provisional value
2014-09,-3.02,
2014-10,-2.90,
2014-11,-3.67,
2014-12,-4.03,Provisional value
