"",BBSF2.M.1.P.00000.GEL01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEL01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Money market funds / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:09,
1999-12,17185,
2000-01,17529,
2000-02,18474,
2000-03,18225,
2000-04,17855,
2000-05,17847,
2000-06,17186,
2000-07,16947,
2000-08,17172,
2000-09,16944,
2000-10,16648,
2000-11,16457,
2000-12,15948,
2001-01,16941,
2001-02,17519,
2001-03,18638,
2001-04,19060,
2001-05,19583,
2001-06,19842,
2001-07,19943,
2001-08,21660,
2001-09,22732,
2001-10,24129,
2001-11,24885,
2001-12,25215,
2002-01,26030,
2002-02,26224,
2002-03,26925,
2002-04,26834,
2002-05,26710,
2002-06,27237,
2002-07,27812,
2002-08,28169,
2002-09,28957,
2002-10,29124,
2002-11,28893,
2002-12,28727,
2003-01,29863,
2003-02,30337,
2003-03,31481,
2003-04,31635,
2003-05,32174,
2003-06,32096,
2003-07,31594,
2003-08,31305,
2003-09,30882,
2003-10,30644,
2003-11,30328,
2003-12,29281,
2004-01,29501,
2004-02,29224,
2004-03,28775,
2004-04,28484,
2004-05,28556,
2004-06,28280,
2004-07,28466,
2004-08,28497,
2004-09,27315,
2004-10,26756,
2004-11,26181,
2004-12,23232,
2005-01,23806,
2005-02,23800,
2005-03,24360,
2005-04,24184,
2005-05,24772,
2005-06,25185,
2005-07,25350,
2005-08,25660,
2005-09,25173,
2005-10,25394,
2005-11,25706,
2005-12,26292,
2006-01,26412,
2006-02,26804,
2006-03,27410,
2006-04,27394,
2006-05,27582,
2006-06,28630,
2006-07,27979,
2006-08,27816,
2006-09,28424,
2006-10,28811,
2006-11,28561,
2006-12,28504,
2007-01,28781,
2007-02,28969,
2007-03,29963,
2007-04,29501,
2007-05,29832,
2007-06,30754,
2007-07,30864,
2007-08,27367,
2007-09,25467,
2007-10,25092,
2007-11,24504,
2007-12,23343,
2008-01,23943,
2008-02,23640,
2008-03,22106,
2008-04,20399,
2008-05,19571,
2008-06,18894,
2008-07,18348,
2008-08,17494,
2008-09,16346,
2008-10,12466,
2008-11,11460,
2008-12,10663,
2009-01,10339,
2009-02,9967,
2009-03,9603,
2009-04,9484,
2009-05,9236,
2009-06,8862,
2009-07,8819,
2009-08,8760,
2009-09,8526,
2009-10,8267,
2009-11,8147,
2009-12,7876,
2010-01,8109,
2010-02,8061,
2010-03,7892,
2010-04,7521,
2010-05,7433,
2010-06,7090,
2010-07,7117,
2010-08,6780,
2010-09,6734,
2010-10,6601,
2010-11,6730,
2010-12,6546,
2011-01,6582,
2011-02,6430,
2011-03,6397,
2011-04,6403,
2011-05,6293,
2011-06,6089,
2011-07,4970,
2011-08,5362,
2011-09,5335,
2011-10,5219,
2011-11,4247,
2011-12,4198,
2012-01,3994,
2012-02,3859,
2012-03,3669,
2012-04,3623,
2012-05,3658,
2012-06,3761,
2012-07,3738,
2012-08,3738,
2012-09,3623,
2012-10,3627,
2012-11,3544,
2012-12,3580,
2013-01,3332,
2013-02,3169,
2013-03,3049,
2013-04,2986,
2013-05,2942,
2013-06,3183,
2013-07,3183,
2013-08,3213,
2013-09,3131,
2013-10,3057,
2013-11,2996,
2013-12,2966,
2014-01,3108,
2014-02,3061,
2014-03,2859,
2014-04,2862,
2014-05,2921,
2014-06,2777,
2014-07,2721,
2014-08,2523,
2014-09,2490,
2014-10,2443,
2014-11,2424,
