"",BBK01.OEAH66T,BBK01.OEAH66T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:01,
2002-01,1.422,
2002-04,1.471,
2002-07,1.477,
2002-10,1.479,
2003-01,1.470,
2003-04,1.456,
2003-07,1.442,
2003-10,1.440,
2004-01,1.430,
2004-04,1.455,
2004-07,1.423,
2004-10,1.421,
2005-01,1.378,
2005-04,1.358,
2005-07,1.309,
2005-10,1.313,
2006-01,1.289,
2006-04,1.270,
2006-07,1.244,
2006-10,1.194,
2007-01,1.154,
2007-04,1.122,
2007-07,1.106,
2007-10,1.085,
2008-01,1.054,
2008-04,1.035,
2008-07,0.992,
2008-10,0.953,
2009-01,0.961,
2009-04,0.957,
2009-07,0.981,
2009-10,1.047,
2010-01,1.065,
2010-04,1.070,
2010-07,1.065,
2010-10,1.052,
2011-01,1.055,
2011-04,1.079,
2011-07,1.079,
2011-10,1.101,
2012-01,1.116,
2012-04,1.117,
2012-07,1.102,
2012-10,1.057,
2013-01,0.948,
2013-04,0.909,
2013-07,0.868,
2013-10,0.860,
2014-01,0.828,
2014-04,0.761,
2014-07,0.715,
