"",BBK01.OEHM06H,BBK01.OEHM06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:56,
2002-01,0.249,
2002-04,0.286,
2002-07,0.303,
2002-10,0.283,
2003-01,0.271,
2003-04,0.253,
2003-07,0.252,
2003-10,0.250,
2004-01,0.245,
2004-04,0.256,
2004-07,0.292,
2004-10,0.287,
2005-01,0.288,
2005-04,0.293,
2005-07,0.266,
2005-10,0.268,
2006-01,0.280,
2006-04,0.295,
2006-07,0.299,
2006-10,0.305,
2007-01,0.316,
2007-04,0.326,
2007-07,0.339,
2007-10,0.351,
2008-01,0.318,
2008-04,0.325,
2008-07,0.342,
2008-10,0.332,
2009-01,0.358,
2009-04,0.334,
2009-07,0.310,
2009-10,0.299,
2010-01,0.295,
2010-04,0.287,
2010-07,0.283,
2010-10,0.278,
2011-01,0.322,
2011-04,0.355,
2011-07,0.320,
2011-10,0.356,
2012-01,0.331,
2012-04,0.324,
2012-07,0.319,
2012-10,0.304,
2013-01,0.268,
2013-04,0.291,
2013-07,0.306,
2013-10,0.303,
2014-01,0.328,
2014-04,0.324,
2014-07,0.319,
