"",BBK01.OEXJ03I,BBK01.OEXJ03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:35,
2002-01,3.042,
2002-04,3.077,
2002-07,3.362,
2002-10,3.106,
2003-01,2.987,
2003-04,2.663,
2003-07,2.559,
2003-10,2.545,
2004-01,2.504,
2004-04,2.688,
2004-07,2.896,
2004-10,2.784,
2005-01,3.731,
2005-04,3.495,
2005-07,3.119,
2005-10,2.515,
2006-01,2.794,
2006-04,2.307,
2006-07,2.447,
2006-10,2.419,
2007-01,2.887,
2007-04,3.366,
2007-07,3.352,
2007-10,3.044,
2008-01,3.147,
2008-04,3.327,
2008-07,3.302,
2008-10,2.820,
2009-01,2.003,
2009-04,1.728,
2009-07,1.659,
2009-10,1.645,
2010-01,1.540,
2010-04,1.965,
2010-07,2.395,
2010-10,5.275,
2011-01,6.172,
2011-04,6.435,
2011-07,7.290,
2011-10,7.037,
2012-01,7.473,
2012-04,7.386,
2012-07,7.584,
2012-10,7.653,
2013-01,7.650,
2013-04,7.487,
2013-07,7.438,
2013-10,7.465,
2014-01,7.364,
2014-04,7.569,
2014-07,7.335,
