"",BBK01.OEBL05T,BBK01.OEBL05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:30,
2002-01,0.019,
2002-04,0.020,
2002-07,0.022,
2002-10,0.022,
2003-01,0.021,
2003-04,0.023,
2003-07,0.025,
2003-10,0.022,
2004-01,0.022,
2004-04,0.019,
2004-07,0.020,
2004-10,0.014,
2005-01,0.076,
2005-04,0.073,
2005-07,0.069,
2005-10,0.067,
2006-01,0.067,
2006-04,0.065,
2006-07,0.067,
2006-10,0.072,
2007-01,0.067,
2007-04,0.066,
2007-07,0.066,
2007-10,0.065,
2008-01,0.062,
2008-04,0.063,
2008-07,0.061,
2008-10,0.075,
2009-01,0.078,
2009-04,0.081,
2009-07,0.093,
2009-10,0.096,
2010-01,0.100,
2010-04,0.101,
2010-07,0.103,
2010-10,0.105,
2011-01,0.105,
2011-04,0.092,
2011-07,0.084,
2011-10,0.086,
2012-01,0.088,
2012-04,0.083,
2012-07,0.079,
2012-10,0.080,
2013-01,0.074,
2013-04,0.072,
2013-07,0.074,
2013-10,0.074,
2014-01,0.069,
2014-04,0.071,
2014-07,0.068,
