"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.ES.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.ES.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Spain / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:28,
2009-09,7276,
2009-10,7570,
2009-11,7731,
2009-12,7954,
2010-01,8368,
2010-02,8865,
2010-03,9079,
2010-04,8212,
2010-05,7086,
2010-06,6635,
2010-07,7065,
2010-08,7343,
2010-09,7473,
2010-10,7868,
2010-11,6854,
2010-12,6520,
2011-01,6666,
2011-02,6893,
2011-03,7170,
2011-04,7472,
2011-05,7239,
2011-06,6780,
2011-07,6399,
2011-08,6206,
2011-09,6217,
2011-10,5724,
2011-11,5233,
2011-12,5396,
2012-01,5252,
2012-02,5519,
2012-03,5425,
2012-04,5007,
2012-05,4439,
2012-06,3617,
2012-07,3471,
2012-08,3387,
2012-09,3721,
2012-10,4182,
2012-11,5693,
2012-12,5809,
2013-01,6652,
2013-02,6782,
2013-03,7142,
2013-04,7670,
2013-05,8000,
2013-06,7985,
2013-07,8229,
2013-08,8536,
2013-09,8653,
2013-10,7877,
2013-11,7893,
2013-12,7957,
2014-01,8865,
2014-02,9609,
2014-03,10119,
2014-04,10340,
2014-05,10719,
2014-06,10392,
2014-07,10962,
2014-08,11420,
2014-09,11686,
2014-10,11698,
2014-11,12614,
