"",BBK01.OEAI09K,BBK01.OEAI09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:59,
2002-01,1.029,
2002-04,0.984,
2002-07,1.000,
2002-10,0.953,
2003-01,0.838,
2003-04,0.812,
2003-07,0.776,
2003-10,0.818,
2004-01,0.831,
2004-04,0.806,
2004-07,0.790,
2004-10,0.734,
2005-01,0.714,
2005-04,0.699,
2005-07,0.690,
2005-10,0.716,
2006-01,0.718,
2006-04,0.747,
2006-07,0.735,
2006-10,0.742,
2007-01,0.855,
2007-04,0.904,
2007-07,0.986,
2007-10,1.112,
2008-01,1.154,
2008-04,1.226,
2008-07,1.237,
2008-10,1.703,
2009-01,1.722,
2009-04,1.794,
2009-07,1.818,
2009-10,1.545,
2010-01,1.314,
2010-04,1.337,
2010-07,1.283,
2010-10,1.403,
2011-01,1.526,
2011-04,1.535,
2011-07,1.546,
2011-10,1.509,
2012-01,1.431,
2012-04,1.397,
2012-07,1.305,
2012-10,1.148,
2013-01,1.004,
2013-04,0.833,
2013-07,0.793,
2013-10,0.786,
2014-01,0.813,
2014-04,0.813,
2014-07,0.933,
