"",BBK01.OELI09L,BBK01.OELI09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:18,
2002-01,2.644,
2002-04,2.594,
2002-07,2.598,
2002-10,2.678,
2003-01,2.716,
2003-04,2.660,
2003-07,2.641,
2003-10,2.856,
2004-01,3.106,
2004-04,3.062,
2004-07,3.079,
2004-10,3.094,
2005-01,2.937,
2005-04,2.739,
2005-07,2.653,
2005-10,2.532,
2006-01,2.520,
2006-04,2.621,
2006-07,2.781,
2006-10,2.932,
2007-01,3.025,
2007-04,3.036,
2007-07,3.053,
2007-10,2.939,
2008-01,2.593,
2008-04,2.240,
2008-07,1.933,
2008-10,1.940,
2009-01,2.294,
2009-04,2.677,
2009-07,3.051,
2009-10,3.526,
2010-01,3.736,
2010-04,3.342,
2010-07,2.974,
2010-10,2.665,
2011-01,2.424,
2011-04,2.231,
2011-07,2.108,
2011-10,2.022,
2012-01,1.917,
2012-04,1.812,
2012-07,1.698,
2012-10,1.724,
2013-01,1.728,
2013-04,1.687,
2013-07,1.631,
2013-10,1.591,
2014-01,1.588,
2014-04,1.566,
2014-07,1.537,
