"",BBK01.OEYB04N,BBK01.OEYB04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:27,
2002-01,117.328,
2002-04,119.046,
2002-07,120.028,
2002-10,119.737,
2003-01,112.417,
2003-04,107.888,
2003-07,108.305,
2003-10,94.172,
2004-01,95.290,
2004-04,95.206,
2004-07,95.369,
2004-10,93.854,
2005-01,94.421,
2005-04,95.149,
2005-07,97.353,
2005-10,99.602,
2006-01,117.548,
2006-04,118.284,
2006-07,121.341,
2006-10,120.329,
2007-01,118.224,
2007-04,118.967,
2007-07,120.571,
2007-10,119.412,
2008-01,117.972,
2008-04,119.106,
2008-07,98.683,
2008-10,99.887,
2009-01,99.266,
2009-04,99.974,
2009-07,100.491,
2009-10,101.695,
2010-01,102.105,
2010-04,101.949,
2010-07,101.874,
2010-10,101.655,
2011-01,101.392,
2011-04,101.150,
2011-07,101.044,
2011-10,101.126,
2012-01,100.620,
2012-04,100.891,
2012-07,101.298,
2012-10,98.282,
2013-01,96.205,
2013-04,95.802,
2013-07,91.221,
2013-10,90.359,
2014-01,89.714,
2014-04,89.528,
2014-07,89.684,
