"",BBSF2.M.1.S.I0011.SON01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0011.SON01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net asset value / Non-financial corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:44,
2009-09,-,Nothing exists
2009-10,234,
2009-11,261,
2009-12,484,
2010-01,754,
2010-02,760,
2010-03,768,
2010-04,804,
2010-05,805,
2010-06,798,
2010-07,804,
2010-08,814,
2010-09,811,
2010-10,837,
2010-11,830,
2010-12,830,
2011-01,850,
2011-02,855,
2011-03,842,
2011-04,849,
2011-05,855,
2011-06,951,
2011-07,952,
2011-08,939,
2011-09,942,
2011-10,2128,
2011-11,2098,
2011-12,2144,
2012-01,2162,
2012-02,2197,
2012-03,2199,
2012-04,2206,
2012-05,2254,
2012-06,2245,
2012-07,2295,
2012-08,2457,
2012-09,2459,
2012-10,2478,
2012-11,2499,
2012-12,2508,
2013-01,2485,
2013-02,2503,
2013-03,2820,
2013-04,2835,
2013-05,2858,
2013-06,2792,
2013-07,2821,
2013-08,2800,
2013-09,2828,
2013-10,2851,
2013-11,2859,
2013-12,2846,
2014-01,2841,
2014-02,2865,
2014-03,2867,
2014-04,2925,
2014-05,3498,
2014-06,3506,
2014-07,3753,
2014-08,3912,
2014-09,4023,
2014-10,4049,
2014-11,4073,
