"",BBK01.OEBJ04V,BBK01.OEBJ04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:28,
2002-01,1.278,
2002-04,1.280,
2002-07,1.385,
2002-10,1.369,
2003-01,1.450,
2003-04,1.249,
2003-07,1.310,
2003-10,1.375,
2004-01,1.254,
2004-04,1.105,
2004-07,1.161,
2004-10,1.119,
2005-01,0.958,
2005-04,0.925,
2005-07,0.943,
2005-10,1.041,
2006-01,1.034,
2006-04,1.068,
2006-07,1.229,
2006-10,1.418,
2007-01,1.584,
2007-04,1.600,
2007-07,1.730,
2007-10,1.807,
2008-01,1.890,
2008-04,2.062,
2008-07,2.285,
2008-10,2.002,
2009-01,1.566,
2009-04,1.358,
2009-07,1.085,
2009-10,1.011,
2010-01,1.146,
2010-04,1.115,
2010-07,1.055,
2010-10,0.989,
2011-01,1.261,
2011-04,1.221,
2011-07,1.243,
2011-10,1.660,
2012-01,1.771,
2012-04,1.873,
2012-07,1.849,
2012-10,1.718,
2013-01,1.646,
2013-04,1.607,
2013-07,1.617,
2013-10,1.668,
2014-01,1.681,
2014-04,1.675,
2014-07,1.516,
