"",BBDE1.M.DE.Y.AED5.A2P350000.F.C.I10.A,BBDE1.M.DE.Y.AED5.A2P350000.F.C.I10.A_FLAGS
"","Orders received from abroad, Non-euro-area countries / At constant prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:27,
2003-01,86.9,
2003-02,93.0,
2003-03,96.9,
2003-04,93.2,
2003-05,94.7,
2003-06,94.3,
2003-07,87.4,
2003-08,94.6,
2003-09,93.9,
2003-10,103.7,
2003-11,93.8,
2003-12,100.3,
2004-01,93.3,
2004-02,95.5,
2004-03,96.3,
2004-04,102.5,
2004-05,95.4,
2004-06,89.8,
2004-07,97.3,
2004-08,92.7,
2004-09,96.8,
2004-10,94.7,
2004-11,97.7,
2004-12,97.6,
2005-01,102.0,
2005-02,104.2,
2005-03,103.3,
2005-04,101.1,
2005-05,99.5,
2005-06,103.5,
2005-07,107.2,
2005-08,109.4,
2005-09,109.4,
2005-10,107.3,
2005-11,107.3,
2005-12,110.3,
2006-01,112.4,
2006-02,105.7,
2006-03,109.3,
2006-04,113.4,
2006-05,109.6,
2006-06,109.1,
2006-07,111.1,
2006-08,115.3,
2006-09,114.4,
2006-10,113.7,
2006-11,123.4,
2006-12,114.5,
2007-01,117.2,
2007-02,116.9,
2007-03,115.2,
2007-04,119.1,
2007-05,121.2,
2007-06,124.6,
2007-07,120.5,
2007-08,126.8,
2007-09,120.6,
2007-10,127.4,
2007-11,122.8,
2007-12,124.9,
2008-01,122.2,
2008-02,123.4,
2008-03,117.4,
2008-04,118.3,
2008-05,118.6,
2008-06,113.4,
2008-07,112.9,
2008-08,105.1,
2008-09,108.8,
2008-10,110.1,
2008-11,107.2,
2008-12,95.3,
2009-01,90.9,
2009-02,93.3,
2009-03,90.9,
2009-04,89.8,
2009-05,93.0,
2009-06,93.9,
2009-07,92.2,
2009-08,92.2,
2009-09,94.6,
2009-10,94.6,
2009-11,104.4,
2009-12,95.3,
2010-01,97.1,
2010-02,94.3,
2010-03,101.2,
2010-04,96.3,
2010-05,103.0,
2010-06,100.7,
2010-07,94.3,
2010-08,97.9,
2010-09,100.0,
2010-10,103.0,
2010-11,106.1,
2010-12,101.3,
2011-01,103.2,
2011-02,106.2,
2011-03,107.4,
2011-04,110.6,
2011-05,106.5,
2011-06,103.2,
2011-07,112.4,
2011-08,103.7,
2011-09,104.5,
2011-10,101.6,
2011-11,105.2,
2011-12,106.8,
2012-01,108.1,
2012-02,105.8,
2012-03,116.3,
2012-04,105.1,
2012-05,110.6,
2012-06,113.0,
2012-07,115.2,
2012-08,111.8,
2012-09,114.8,
2012-10,114.4,
2012-11,112.7,
2012-12,116.3,
2013-01,105.6,
2013-02,111.2,
2013-03,110.9,
2013-04,117.9,
2013-05,116.6,
2013-06,111.4,
2013-07,119.3,
2013-08,117.2,
2013-09,131.4,
2013-10,119.9,
2013-11,120.9,
2013-12,115.8,
2014-01,122.7,
2014-02,122.5,
2014-03,115.2,
2014-04,124.9,
2014-05,123.0,
2014-06,121.7,
2014-07,117.4,
2014-08,125.6,
2014-09,120.3,
2014-10,131.6,
2014-11,119.4,
2014-12,127.2,Provisional value
