"",BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:45,
1991-01,-5.126,
1991-04,-8.983,
1991-07,5.605,
1991-10,18.252,
1992-01,15.950,
1992-04,16.641,
1992-07,22.629,
1992-10,19.330,
1993-01,-37.060,
1993-04,-17.008,
1993-07,-8.425,
1993-10,-89.216,
1994-01,7.558,
1994-04,1.895,
1994-07,-21.661,
1994-10,26.003,
1995-01,14.244,
1995-04,57.539,
1995-07,13.624,
1995-10,35.494,
1996-01,-262.251,
1996-04,194.889,
1996-07,303.360,
1996-10,95.465,
1997-01,102.596,
1997-04,163.932,
1997-07,-57.852,
1997-10,24.498,
1998-01,43.907,
1998-04,96.539,
1998-07,-9.512,
1998-10,116.208,
1999-01,218.811,
1999-04,20.483,
1999-07,-159.393,
1999-10,213.347,
2000-01,-147.354,
2000-04,469.449,
2000-07,436.322,
2000-10,130.477,
2001-01,-98.722,
2001-04,-152.289,
2001-07,53.658,
2001-10,4.136,
2002-01,-66.587,
2002-04,89.512,
2002-07,22.586,
2002-10,-99.263,
2003-01,-370.548,
2003-04,181.475,
2003-07,-243.776,
2003-10,572.636,
2004-01,141.624,
2004-04,277.915,
2004-07,-24.130,
2004-10,1066.188,
2005-01,-46.227,
2005-04,664.531,
2005-07,170.644,
2005-10,453.089,
2006-01,-275.889,
2006-04,598.419,
2006-07,141.295,
2006-10,249.646,
2007-01,7.242,
2007-04,127.419,
2007-07,-58.860,
2007-10,-16.412,
2008-01,-596.748,
2008-04,58.839,
2008-07,143.119,
2008-10,-146.932,
2009-01,-96.714,
2009-04,-280.580,
2009-07,431.922,
2009-10,-13.783,
2010-01,226.484,
2010-04,1182.483,
2010-07,360.478,
2010-10,805.755,
2011-01,99.111,
2011-04,-28.918,
2011-07,470.684,
2011-10,-171.708,
2012-01,246.269,
2012-04,88.430,
2012-07,765.761,
2012-10,-240.150,
2013-01,389.189,
2013-04,-397.143,
2013-07,825.279,
2013-10,-315.784,
2014-01,-507.765,Provisional value
2014-04,-242.872,Provisional value
2014-07,318.354,Provisional value
2014-10,1076.829,Provisional value
