"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.CY.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.CY.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Cyprus,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:49,
2009-09,46,
2009-10,48,
2009-11,41,
2009-12,44,
2010-01,41,
2010-02,38,
2010-03,40,
2010-04,38,
2010-05,30,
2010-06,25,
2010-07,30,
2010-08,30,
2010-09,40,
2010-10,43,
2010-11,40,
2010-12,39,
2011-01,45,
2011-02,44,
2011-03,43,
2011-04,41,
2011-05,36,
2011-06,35,
2011-07,33,
2011-08,24,
2011-09,18,
2011-10,21,
2011-11,19,
2011-12,17,
2012-01,18,
2012-02,21,
2012-03,19,
2012-04,19,
2012-05,17,
2012-06,17,
2012-07,19,
2012-08,20,
2012-09,21,
2012-10,21,
2012-11,19,
2012-12,18,
2013-01,17,
2013-02,19,
2013-03,18,
2013-04,16,
2013-05,16,
2013-06,13,
2013-07,13,
2013-08,13,
2013-09,13,
2013-10,13,
2013-11,13,
2013-12,13,
2014-01,9,
2014-02,11,
2014-03,11,
2014-04,16,
2014-05,15,
2014-06,15,
2014-07,14,
2014-08,12,
2014-09,11,
2014-10,9,
2014-11,7,
