"",BBK01.OXA7E2,BBK01.OXA7E2_FLAGS
"",Net total of other loans sold to/bought from domestic households during the reporting period - of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:56,
2009-12,0.023,
2010-01,0.010,
2010-02,0.021,
2010-03,0.020,
2010-04,0.014,
2010-05,0.015,
2010-06,0.031,
2010-07,0.015,
2010-08,0.004,
2010-09,0.018,
2010-10,0.024,
2010-11,0.223,
2010-12,0.005,
2011-01,-0.027,
2011-02,0.040,
2011-03,0.027,
2011-04,0.039,
2011-05,0.033,
2011-06,0.070,
2011-07,0.040,
2011-08,0.103,
2011-09,0.098,
2011-10,0.155,
2011-11,0.107,
2011-12,0.094,
2012-01,0.132,
2012-02,0.085,
2012-03,0.105,
2012-04,-0.255,
2012-05,0.060,
2012-06,0.018,
2012-07,0.308,
2012-08,0.103,
2012-09,0.076,
2012-10,0.055,
2012-11,0.119,
2012-12,0.103,
2013-01,0.127,
2013-02,0.311,
2013-03,0.067,
2013-04,0.076,
2013-05,0.092,
2013-06,0.339,
2013-07,0.085,
2013-08,0.072,
2013-09,0.053,
2013-10,0.142,
2013-11,0.104,
2013-12,0.059,
2014-01,0.227,
2014-02,0.019,
2014-03,0.105,
2014-04,-0.105,
2014-05,0.138,
2014-06,0.079,
2014-07,0.096,
2014-08,0.356,
2014-09,0.474,
2014-10,0.164,
2014-11,0.077,
2014-12,0.066,Provisional value
