"",BBK01.OEAC57J,BBK01.OEAC57J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:48,
2002-01,1.490,
2002-04,1.486,
2002-07,1.312,
2002-10,1.304,
2003-01,1.315,
2003-04,1.314,
2003-07,1.616,
2003-10,2.090,
2004-01,1.991,
2004-04,1.993,
2004-07,1.798,
2004-10,1.695,
2005-01,1.729,
2005-04,1.722,
2005-07,1.701,
2005-10,1.696,
2006-01,1.669,
2006-04,1.705,
2006-07,1.697,
2006-10,1.698,
2007-01,1.686,
2007-04,1.738,
2007-07,1.741,
2007-10,1.719,
2008-01,1.705,
2008-04,1.694,
2008-07,1.515,
2008-10,1.531,
2009-01,1.544,
2009-04,1.540,
2009-07,1.546,
2009-10,1.450,
2010-01,0.849,
2010-04,1.630,
2010-07,1.616,
2010-10,1.604,
2011-01,1.608,
2011-04,1.521,
2011-07,1.566,
2011-10,1.535,
2012-01,1.512,
2012-04,1.568,
2012-07,1.548,
2012-10,1.527,
2013-01,1.575,
2013-04,1.527,
2013-07,1.524,
2013-10,1.488,
2014-01,1.509,
2014-04,1.494,
2014-07,1.531,
