"",BBK01.OEBO03K,BBK01.OEBO03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:32,
2002-01,0.881,
2002-04,0.968,
2002-07,0.542,
2002-10,0.561,
2003-01,0.699,
2003-04,0.647,
2003-07,0.615,
2003-10,0.655,
2004-01,0.789,
2004-04,0.575,
2004-07,0.598,
2004-10,0.853,
2005-01,0.974,
2005-04,0.681,
2005-07,0.787,
2005-10,0.876,
2006-01,1.002,
2006-04,0.851,
2006-07,0.875,
2006-10,0.946,
2007-01,1.165,
2007-04,0.920,
2007-07,0.880,
2007-10,0.939,
2008-01,0.977,
2008-04,0.941,
2008-07,1.023,
2008-10,1.277,
2009-01,1.110,
2009-04,0.842,
2009-07,1.048,
2009-10,1.339,
2010-01,1.187,
2010-04,0.878,
2010-07,0.725,
2010-10,0.794,
2011-01,1.027,
2011-04,1.031,
2011-07,0.926,
2011-10,0.866,
2012-01,0.921,
2012-04,0.778,
2012-07,0.684,
2012-10,0.721,
2013-01,1.126,
2013-04,0.647,
2013-07,0.608,
2013-10,0.578,
2014-01,0.564,
2014-04,0.465,
2014-07,0.426,
