"",BBK01.OEAM06O,BBK01.OEAM06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:45,
2002-01,0.105,
2002-04,0.122,
2002-07,0.127,
2002-10,0.102,
2003-01,0.088,
2003-04,0.096,
2003-07,0.099,
2003-10,0.096,
2004-01,0.082,
2004-04,0.077,
2004-07,0.082,
2004-10,0.091,
2005-01,0.100,
2005-04,0.097,
2005-07,0.095,
2005-10,0.098,
2006-01,0.099,
2006-04,0.104,
2006-07,0.108,
2006-10,0.107,
2007-01,0.105,
2007-04,0.104,
2007-07,0.096,
2007-10,0.092,
2008-01,0.096,
2008-04,0.094,
2008-07,0.097,
2008-10,0.103,
2009-01,0.106,
2009-04,0.081,
2009-07,0.094,
2009-10,0.103,
2010-01,0.078,
2010-04,0.083,
2010-07,0.094,
2010-10,0.108,
2011-01,0.102,
2011-04,0.108,
2011-07,0.094,
2011-10,0.063,
2012-01,0.064,
2012-04,0.065,
2012-07,0.063,
2012-10,0.323,
2013-01,0.071,
2013-04,0.071,
2013-07,0.065,
2013-10,0.257,
2014-01,0.045,
2014-04,0.043,
2014-07,0.037,
