"",BBFN1.M.DE.N.1.L.W1.S1P.H2.T.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H2.T.N000.Z06.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from advance payments received / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:52,
1974-12,0.805,
1975-01,0.836,
1975-02,0.851,
1975-03,0.704,
1975-04,0.920,
1975-05,0.972,
1975-06,0.994,
1975-07,0.980,
1975-08,1.016,
1975-09,1.074,
1975-10,1.253,
1975-11,1.296,
1975-12,1.298,
1976-01,1.300,
1976-02,1.329,
1976-03,1.398,
1976-04,1.533,
1976-05,1.594,
1976-06,1.566,
1976-07,1.681,
1976-08,1.675,
1976-09,1.741,
1976-10,1.820,
1976-11,1.679,
1976-12,1.682,
1977-01,1.705,
1977-02,1.824,
1977-03,1.876,
1977-04,1.944,
1977-05,1.966,
1977-06,1.923,
1977-07,1.994,
1977-08,1.770,
1977-09,1.698,
1977-10,1.753,
1977-11,1.797,
1977-12,1.661,
1978-01,1.704,
1978-02,1.689,
1978-03,1.755,
1978-04,1.688,
1978-05,2.181,
1978-06,1.959,
1978-07,1.895,
1978-08,1.916,
1978-09,1.969,
1978-10,2.028,
1978-11,2.055,
1978-12,2.175,
1979-01,2.007,
1979-02,2.029,
1979-03,2.050,
1979-04,2.133,
1979-05,2.151,
1979-06,2.185,
1979-07,2.210,
1979-08,2.322,
1979-09,2.207,
1979-10,2.126,
1979-11,2.237,
1979-12,2.072,
1980-01,2.150,
1980-02,2.127,
1980-03,2.129,
1980-04,2.130,
1980-05,2.034,
1980-06,2.088,
1980-07,2.070,
1980-08,2.080,
1980-09,2.091,
1980-10,2.096,
1980-11,2.813,
1980-12,2.895,
1981-01,3.005,
1981-02,3.371,
1981-03,3.499,
1981-04,3.740,
1981-05,3.309,
1981-06,3.342,
1981-07,3.513,
1981-08,3.454,
1981-09,3.511,
1981-10,3.418,
1981-11,3.189,
1981-12,3.132,
1982-01,3.367,
1982-02,3.480,
1982-03,3.708,
1982-04,4.054,
1982-05,3.744,
1982-06,3.845,
1982-07,3.785,
1982-08,3.805,
1982-09,3.935,
1982-10,3.733,
1982-11,3.641,
1982-12,3.685,
1983-01,3.886,
1983-02,3.893,
1983-03,3.799,
1983-04,3.869,
1983-05,3.878,
1983-06,3.658,
1983-07,3.727,
1983-08,3.655,
1983-09,3.568,
1983-10,3.555,
1983-11,3.889,
1983-12,3.634,
1984-01,3.761,
1984-02,3.735,
1984-03,3.733,
1984-04,3.890,
1984-05,3.612,
1984-06,3.615,
1984-07,3.459,
1984-08,3.289,
1984-09,3.271,
1984-10,3.097,
1984-11,3.281,
1984-12,3.134,
1985-01,2.831,
1985-02,2.935,
1985-03,3.010,
1985-04,3.083,
1985-05,3.243,
1985-06,3.143,
1985-07,3.019,
1985-08,3.094,
1985-09,2.849,
1985-10,2.918,
1985-11,2.783,
1985-12,2.703,
1986-01,2.883,
1986-02,2.757,
1986-03,2.717,
1986-04,2.764,
1986-05,2.794,
1986-06,2.863,
1986-07,2.874,
1986-08,2.925,
1986-09,2.758,
1986-10,2.655,
1986-11,2.555,
1986-12,2.481,
1987-01,2.522,
1987-02,2.608,
1987-03,2.737,
1987-04,2.782,
1987-05,2.814,
1987-06,2.771,
1987-07,2.866,
1987-08,2.707,
1987-09,2.795,
1987-10,2.749,
1987-11,2.773,
1987-12,2.642,
1988-01,2.627,
1988-02,2.634,
1988-03,2.583,
1988-04,2.624,
1988-05,2.652,
1988-06,2.625,
1988-07,2.636,
1988-08,2.721,
1988-09,2.768,
1988-10,2.789,
1988-11,2.799,
1988-12,2.812,
1989-01,2.797,
1989-02,2.873,
1989-03,2.828,
1989-04,2.891,
1989-05,2.959,
1989-06,3.021,
1989-07,3.069,
1989-08,3.087,
1989-09,2.886,
1989-10,2.945,
1989-11,2.973,
1989-12,2.858,
1990-01,2.780,
1990-02,2.823,
1990-03,2.833,
1990-04,2.813,
1990-05,2.763,
1990-06,2.839,
1990-07,2.862,
1990-08,2.974,
1990-09,2.993,
1990-10,3.065,
1990-11,3.060,
1990-12,2.964,
1991-01,2.847,
1991-02,2.936,
1991-03,2.967,
1991-04,3.005,
1991-05,3.001,
1991-06,3.009,
1991-07,3.149,
1991-08,3.200,
1991-09,3.116,
1991-10,2.986,
1991-11,3.009,
1991-12,2.817,
1992-01,2.897,
1992-02,2.976,
1992-03,3.378,
1992-04,3.549,
1992-05,3.636,
1992-06,3.639,
1992-07,3.648,
1992-08,3.561,
1992-09,3.371,
1992-10,3.373,
1992-11,3.340,
1992-12,3.402,
1993-01,3.116,
1993-02,3.304,
1993-03,3.296,
1993-04,3.306,
1993-05,3.182,
1993-06,3.252,
1993-07,3.498,
1993-08,3.653,
1993-09,3.426,
1993-10,3.345,
1993-11,3.140,
1993-12,3.086,
1994-01,3.406,
1994-02,3.626,
1994-03,3.823,
1994-04,3.968,
1994-05,4.001,
1994-06,4.136,
1994-07,4.409,
1994-08,3.860,
1994-09,3.903,
1994-10,4.024,
1994-11,4.220,
1994-12,3.757,
1995-01,4.299,
1995-02,4.476,
1995-03,4.580,
1995-04,5.269,
1995-05,5.349,
1995-06,5.416,
1995-07,5.714,
1995-08,5.712,
1995-09,5.459,
1995-10,5.268,
1995-11,5.158,
1995-12,5.062,
1996-01,5.217,
1996-02,5.164,
1996-03,5.404,
1996-04,5.624,
1996-05,5.950,
1996-06,5.585,
1996-07,5.822,
1996-08,5.859,
1996-09,5.710,
1996-10,5.834,
1996-11,6.137,
1996-12,6.142,
1997-01,6.427,
1997-02,6.573,
1997-03,6.684,
1997-04,6.952,
1997-05,7.170,
1997-06,7.033,
1997-07,7.442,
1997-08,7.305,
1997-09,7.468,
1997-10,7.692,
1997-11,7.362,
1997-12,7.023,
1998-01,6.998,
1998-02,7.520,
1998-03,7.463,
1998-04,7.756,
1998-05,7.785,
1998-06,7.502,
1998-07,7.710,
1998-08,8.008,
1998-09,7.835,
1998-10,7.956,
1998-11,7.659,
1998-12,7.535,
1999-01,7.835,
1999-02,7.616,
1999-03,7.227,
1999-04,6.492,
1999-05,6.147,
1999-06,6.716,
1999-07,6.810,
1999-08,6.618,
1999-09,5.916,
1999-10,5.779,
1999-11,6.291,
1999-12,6.064,
2000-01,6.252,
2000-02,6.423,
2000-03,6.191,
2000-04,6.256,
2000-05,6.594,
2000-06,5.919,
2000-07,6.041,
2000-08,5.991,
2000-09,5.780,
2000-10,6.024,
2000-11,6.034,
2000-12,6.009,
2001-01,5.917,
2001-02,6.207,
2001-03,6.532,
2001-04,6.789,
2001-05,6.759,
2001-06,7.073,
2001-07,6.406,
2001-08,6.923,
2001-09,7.192,
