"",BBK01.OEAC60U,BBK01.OEAC60U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:14,
2002-01,0.783,
2002-04,0.782,
2002-07,0.770,
2002-10,0.769,
2003-01,0.782,
2003-04,0.779,
2003-07,0.762,
2003-10,0.750,
2004-01,0.733,
2004-04,0.725,
2004-07,0.721,
2004-10,0.705,
2005-01,0.684,
2005-04,0.665,
2005-07,0.650,
2005-10,0.658,
2006-01,0.645,
2006-04,0.633,
2006-07,0.632,
2006-10,0.638,
2007-01,0.628,
2007-04,0.622,
2007-07,0.609,
2007-10,0.615,
2008-01,0.600,
2008-04,0.611,
2008-07,0.614,
2008-10,0.619,
2009-01,0.608,
2009-04,0.635,
2009-07,0.629,
2009-10,0.622,
2010-01,0.628,
2010-04,0.634,
2010-07,0.639,
2010-10,0.629,
2011-01,0.637,
2011-04,0.636,
2011-07,0.632,
2011-10,0.630,
2012-01,0.630,
2012-04,0.635,
2012-07,0.650,
2012-10,0.643,
2013-01,0.623,
2013-04,0.624,
2013-07,0.625,
2013-10,0.622,
2014-01,0.608,
2014-04,0.604,
2014-07,0.596,
