"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.AU.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.AU.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Australia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:52,
2009-09,3298,
2009-10,3384,
2009-11,3796,
2009-12,3854,
2010-01,3902,
2010-02,4022,
2010-03,4392,
2010-04,4506,
2010-05,4448,
2010-06,4285,
2010-07,4415,
2010-08,4534,
2010-09,4775,
2010-10,4818,
2010-11,4780,
2010-12,4717,
2011-01,4562,
2011-02,4617,
2011-03,4790,
2011-04,4889,
2011-05,4961,
2011-06,5087,
2011-07,5198,
2011-08,5239,
2011-09,5198,
2011-10,5213,
2011-11,5270,
2011-12,5358,
2012-01,6026,
2012-02,6230,
2012-03,6435,
2012-04,6555,
2012-05,6929,
2012-06,6850,
2012-07,7384,
2012-08,7499,
2012-09,7708,
2012-10,7749,
2012-11,7722,
2012-12,8006,
2013-01,7725,
2013-02,7884,
2013-03,8051,
2013-04,8415,
2013-05,8229,
2013-06,7962,
2013-07,8192,
2013-08,8056,
2013-09,8352,
2013-10,8730,
2013-11,8750,
2013-12,8567,
2014-01,8951,
2014-02,8931,
2014-03,9339,
2014-04,9574,
2014-05,9731,
2014-06,9901,
2014-07,10048,
2014-08,10316,
2014-09,10501,
2014-10,10925,
2014-11,10920,
