"",BBSF2.M.1.S.00000.REN01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:44,
2009-09,6958,
2009-10,6778,
2009-11,6905,
2009-12,7382,
2010-01,7246,
2010-02,6933,
2010-03,7468,
2010-04,7442,
2010-05,6997,
2010-06,6885,
2010-07,7190,
2010-08,7040,
2010-09,7412,
2010-10,7682,
2010-11,7665,
2010-12,8067,
2011-01,8123,
2011-02,8199,
2011-03,7914,
2011-04,8164,
2011-05,8015,
2011-06,8039,
2011-07,7778,
2011-08,6859,
2011-09,6322,
2011-10,6783,
2011-11,7223,
2011-12,7388,
2012-01,7652,
2012-02,7960,
2012-03,7955,
2012-04,7738,
2012-05,7318,
2012-06,7573,
2012-07,8221,
2012-08,8356,
2012-09,8422,
2012-10,8417,
2012-11,8550,
2012-12,8764,
2013-01,9073,
2013-02,9128,
2013-03,9332,
2013-04,9786,
2013-05,10064,
2013-06,9557,
2013-07,10136,
2013-08,10083,
2013-09,10752,
2013-10,11544,
2013-11,11819,
2013-12,14110,
2014-01,13779,
2014-02,14238,
2014-03,14443,
2014-04,13901,
2014-05,13903,
2014-06,14065,
2014-07,13096,
2014-08,14066,
2014-09,14050,
2014-10,14696,
2014-11,12940,
