"",BBK01.OEBB01J,BBK01.OEBB01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:57,
2002-01,5.446,
2002-04,5.498,
2002-07,5.402,
2002-10,5.248,
2003-01,5.088,
2003-04,5.027,
2003-07,5.009,
2003-10,4.731,
2004-01,4.725,
2004-04,4.765,
2004-07,4.683,
2004-10,4.425,
2005-01,5.199,
2005-04,5.234,
2005-07,5.319,
2005-10,5.369,
2006-01,5.396,
2006-04,5.428,
2006-07,5.428,
2006-10,5.391,
2007-01,5.367,
2007-04,5.464,
2007-07,5.555,
2007-10,5.420,
2008-01,5.400,
2008-04,5.623,
2008-07,5.723,
2008-10,5.585,
2009-01,5.595,
2009-04,5.559,
2009-07,5.478,
2009-10,5.454,
2010-01,5.470,
2010-04,5.552,
2010-07,5.502,
2010-10,5.472,
2011-01,5.535,
2011-04,5.613,
2011-07,5.660,
2011-10,5.704,
2012-01,5.749,
2012-04,11.967,
2012-07,11.812,
2012-10,6.129,
2013-01,6.296,
2013-04,5.897,
2013-07,5.940,
2013-10,6.096,
2014-01,6.223,
2014-04,6.241,
2014-07,6.044,
