"",BBFB1.Q.N.DE.CN.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:03,
1991-01,53.472,
1991-04,31.366,
1991-07,35.124,
1991-10,33.076,
1992-01,11.877,
1992-04,10.818,
1992-07,8.894,
1992-10,40.376,
1993-01,29.030,
1993-04,32.036,
1993-07,27.882,
1993-10,22.133,
1994-01,9.743,
1994-04,27.955,
1994-07,16.077,
1994-10,38.898,
1995-01,44.935,
1995-04,54.080,
1995-07,58.371,
1995-10,54.968,
1996-01,58.685,
1996-04,63.540,
1996-07,41.592,
1996-10,46.795,
1997-01,94.609,
1997-04,96.727,
1997-07,101.560,
1997-10,109.096,
1998-01,66.732,
1998-04,73.556,
1998-07,52.663,
1998-10,49.861,
1999-01,74.307,
1999-04,37.194,
1999-07,63.920,
1999-10,39.431,
2000-01,49.846,
2000-04,146.232,
2000-07,59.783,
2000-10,71.065,
2001-01,53.913,
2001-04,105.747,
2001-07,102.032,
2001-10,44.051,
2002-01,52.089,
2002-04,68.920,
2002-07,72.560,
2002-10,93.894,
2003-01,126.015,
2003-04,138.593,
2003-07,173.885,
2003-10,207.803,
2004-01,171.174,
2004-04,186.562,
2004-07,205.555,
2004-10,228.929,
2005-01,169.632,
2005-04,196.928,
2005-07,194.162,
2005-10,238.917,
2006-01,214.576,
2006-04,208.820,
2006-07,221.884,
2006-10,255.633,
2007-01,460.777,
2007-04,466.042,
2007-07,445.329,
2007-10,369.743,
2008-01,730.519,
2008-04,362.029,
2008-07,299.126,
2008-10,493.695,
2009-01,620.050,
2009-04,680.049,
2009-07,637.823,
2009-10,685.889,
2010-01,1066.198,
2010-04,1161.180,
2010-07,1282.359,
2010-10,1316.195,
2011-01,1482.124,
2011-04,1566.016,
2011-07,1620.406,
2011-10,1641.011,
2012-01,1654.680,
2012-04,1648.713,
2012-07,1642.647,
2012-10,1638.503,
2013-01,1834.360,
2013-04,1789.344,
2013-07,1833.845,
2013-10,1833.588,
2014-01,1802.581,Provisional value
2014-04,1805.193,Provisional value
2014-07,1973.978,Provisional value
