"",BBK01.OEAF21U,BBK01.OEAF21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:23,
2002-01,0.436,
2002-04,0.435,
2002-07,0.427,
2002-10,0.597,
2003-01,0.622,
2003-04,0.660,
2003-07,0.693,
2003-10,0.700,
2004-01,0.722,
2004-04,0.738,
2004-07,0.746,
2004-10,0.744,
2005-01,0.747,
2005-04,0.741,
2005-07,0.813,
2005-10,0.799,
2006-01,0.802,
2006-04,0.820,
2006-07,0.825,
2006-10,0.826,
2007-01,0.770,
2007-04,0.724,
2007-07,0.682,
2007-10,0.633,
2008-01,0.585,
2008-04,0.550,
2008-07,0.512,
2008-10,0.473,
2009-01,0.449,
2009-04,0.427,
2009-07,0.414,
2009-10,0.395,
2010-01,0.384,
2010-04,0.395,
2010-07,0.388,
2010-10,0.377,
2011-01,0.374,
2011-04,0.373,
2011-07,0.375,
2011-10,0.355,
2012-01,0.352,
2012-04,0.358,
2012-07,0.350,
2012-10,0.345,
2013-01,0.332,
2013-04,0.336,
2013-07,0.347,
2013-10,0.341,
2014-01,0.335,
2014-04,0.337,
2014-07,0.333,
