"",BBK01.OEXL03N,BBK01.OEXL03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:02,
2002-01,10.350,
2002-04,10.025,
2002-07,10.040,
2002-10,9.914,
2003-01,9.741,
2003-04,9.449,
2003-07,8.858,
2003-10,8.615,
2004-01,8.110,
2004-04,7.465,
2004-07,7.392,
2004-10,3.398,
2005-01,3.422,
2005-04,3.267,
2005-07,3.339,
2005-10,3.055,
2006-01,3.020,
2006-04,2.972,
2006-07,3.385,
2006-10,3.898,
2007-01,4.127,
2007-04,4.208,
2007-07,4.526,
2007-10,5.226,
2008-01,5.638,
2008-04,6.195,
2008-07,6.665,
2008-10,7.328,
2009-01,6.424,
2009-04,5.883,
2009-07,4.929,
2009-10,4.282,
2010-01,4.572,
2010-04,4.631,
2010-07,4.370,
2010-10,4.372,
2011-01,4.776,
2011-04,5.027,
2011-07,5.257,
2011-10,5.490,
2012-01,5.920,
2012-04,5.777,
2012-07,5.601,
2012-10,5.338,
2013-01,5.203,
2013-04,5.426,
2013-07,5.608,
2013-10,6.247,
2014-01,6.753,
2014-04,7.206,
2014-07,7.263,
