"",BBK01.OECJ04L,BBK01.OECJ04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:31,
2002-01,13.752,
2002-04,17.184,
2002-07,19.178,
2002-10,18.124,
2003-01,18.036,
2003-04,19.699,
2003-07,24.181,
2003-10,20.559,
2004-01,16.139,
2004-04,16.738,
2004-07,15.697,
2004-10,18.025,
2005-01,17.016,
2005-04,22.785,
2005-07,21.434,
2005-10,21.950,
2006-01,27.753,
2006-04,26.627,
2006-07,27.477,
2006-10,23.506,
2007-01,21.394,
2007-04,22.176,
2007-07,22.863,
2007-10,28.741,
2008-01,25.351,
2008-04,28.200,
2008-07,17.897,
2008-10,16.711,
2009-01,18.742,
2009-04,18.903,
2009-07,21.095,
2009-10,15.014,
2010-01,14.413,
2010-04,14.556,
2010-07,13.376,
2010-10,14.361,
2011-01,8.844,
2011-04,29.319,
2011-07,24.762,
2011-10,21.440,
2012-01,15.220,
2012-04,15.536,
2012-07,13.985,
2012-10,17.244,
2013-01,22.475,
2013-04,35.498,
2013-07,7.733,
2013-10,6.871,
2014-01,7.186,
2014-04,7.326,
2014-07,9.941,
