"",BBK01.CELR0C,BBK01.CELR0C_FLAGS
"",long-term time deposits                                      debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:01,
1999-01,-1.2,
1999-04,-0.9,
1999-07,-0.5,
1999-10,2.0,
2000-01,0.7,
2000-04,1.0,
2000-07,0.8,
2000-10,0.1,
2001-01,-0.5,
2001-04,0.3,
2001-07,-0.4,
2001-10,0.2,
2002-01,-0.2,
2002-04,-1.3,
2002-07,-0.8,
2002-10,0.3,
2003-01,-1.8,
2003-04,-0.5,
2003-07,-2.3,
2003-10,-0.8,
2004-01,-2.8,
2004-04,-1.4,
2004-07,-0.9,
2004-10,-0.3,
2005-01,-1.9,
2005-04,-1.2,
2005-07,-3.7,
2005-10,-0.2,
2006-01,-2.7,
2006-04,-0.5,
2006-07,3.6,
2006-10,-3.9,
2007-01,0.3,
2007-04,0.7,
2007-07,-0.8,
2007-10,0.9,
2008-01,0.3,
2008-04,0.5,
2008-07,-0.9,
2008-10,-1.5,
2009-01,-0.1,
2009-04,-0.4,
2009-07,0.9,
2009-10,-0.2,
2010-01,1.4,
2010-04,1.8,
2010-07,-0.5,
2010-10,19.8,
2011-01,-8.9,
2011-04,-1.8,
2011-07,-0.3,
2011-10,0.2,
2012-01,-0.3,
2012-04,-4.0,
2012-07,-0.2,
2012-10,-1.7,
2013-01,-0.4,
2013-04,-0.9,
2013-07,-5.5,
2013-10,-3.6,
2014-01,-2.6,
2014-04,-1.4,
2014-07,-0.4,
