"",BBK01.OEAJ03O,BBK01.OEAJ03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:13,
2002-01,1.885,
2002-04,2.212,
2002-07,2.467,
2002-10,2.706,
2003-01,2.170,
2003-04,1.885,
2003-07,3.694,
2003-10,3.860,
2004-01,4.540,
2004-04,3.776,
2004-07,4.326,
2004-10,5.234,
2005-01,13.208,
2005-04,13.091,
2005-07,13.510,
2005-10,13.929,
2006-01,14.410,
2006-04,14.261,
2006-07,15.252,
2006-10,15.436,
2007-01,15.306,
2007-04,15.602,
2007-07,16.191,
2007-10,17.606,
2008-01,17.721,
2008-04,17.921,
2008-07,13.458,
2008-10,13.651,
2009-01,14.435,
2009-04,14.291,
2009-07,14.729,
2009-10,15.382,
2010-01,14.644,
2010-04,14.320,
2010-07,14.043,
2010-10,13.916,
2011-01,13.539,
2011-04,13.888,
2011-07,14.166,
2011-10,13.633,
2012-01,13.234,
2012-04,12.697,
2012-07,12.706,
2012-10,12.166,
2013-01,11.202,
2013-04,11.112,
2013-07,10.526,
2013-10,10.624,
2014-01,10.089,
2014-04,9.824,
2014-07,9.475,
