"",BBK01.OEAC36N,BBK01.OEAC36N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:32,
2002-01,0.761,
2002-04,0.788,
2002-07,0.837,
2002-10,0.814,
2003-01,0.902,
2003-04,0.932,
2003-07,0.977,
2003-10,0.979,
2004-01,0.961,
2004-04,0.964,
2004-07,1.021,
2004-10,1.004,
2005-01,0.994,
2005-04,1.006,
2005-07,1.044,
2005-10,1.021,
2006-01,1.014,
2006-04,1.013,
2006-07,1.044,
2006-10,1.022,
2007-01,1.035,
2007-04,1.043,
2007-07,1.093,
2007-10,1.093,
2008-01,1.138,
2008-04,1.167,
2008-07,1.235,
2008-10,1.222,
2009-01,1.142,
2009-04,1.167,
2009-07,1.220,
2009-10,1.285,
2010-01,1.341,
2010-04,1.409,
2010-07,1.600,
2010-10,1.584,
2011-01,1.540,
2011-04,1.592,
2011-07,1.692,
2011-10,1.698,
2012-01,1.670,
2012-04,1.688,
2012-07,1.735,
2012-10,1.731,
2013-01,1.659,
2013-04,1.673,
2013-07,1.662,
2013-10,1.653,
2014-01,1.633,
2014-04,1.681,
2014-07,1.729,
